"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","61","54","0","1990","A","","Alabama -- Statewide","Federal Government","Educational services","State, NAICS Sector -- by ownership sector","All establishment sizes",2,10,80577,0,0,154,7991,"",3.58,0.06,0.02,0.00,0.00,0.37,0.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","61","54","0","1990","A","","Alabama -- Statewide","State Government","Educational services","State, NAICS Sector -- by ownership sector","All establishment sizes",135,32260,800384486,0,0,477,24810,"",1.43,1.56,1.79,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","61","54","0","1990","A","","Alabama -- Statewide","Local Government","Educational services","State, NAICS Sector -- by ownership sector","All establishment sizes",132,87875,1584236631,0,0,347,18028,"",0.45,1.04,0.93,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","61","54","0","1990","A","","Alabama -- Statewide","Private","Educational services","State, NAICS Sector -- by ownership sector","All establishment sizes",495,11570,193118483,0,0,321,16691,"",0.89,0.58,0.54,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","61","74","0","1990","A","","Baldwin County, Alabama","Private","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",11,86,1194212,0,0,266,13833,"",0.73,0.25,0.26,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","61","74","0","1990","A","","Calhoun County, Alabama","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",5,2353,41608931,0,0,340,17681,"",0.69,0.99,0.94,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","61","74","0","1990","A","","Calhoun County, Alabama","Private","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",12,136,2303030,0,0,325,16882,"",0.87,0.24,0.25,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","3","61","74","0","1990","A","","Colbert County, Alabama","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",4,1231,22231222,0,0,347,18063,"",0.97,1.03,0.81,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","61","74","0","1990","A","","Colbert County, Alabama","Private","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",4,6,76845,0,0,257,13364,"",0.51,0.02,0.01,0.00,0.00,0.66,0.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","61","74","0","1990","A","","Dale County, Alabama","Private","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",6,753,24171001,0,0,618,32114,"",1.24,3.32,5.93,0.00,0.00,1.78,1.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
