"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","72","54","0","1990","A","","Alabama -- Statewide","Federal Government","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",5,347,3082625,0,0,171,8886,"",1.05,0.98,0.97,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","72","54","0","1990","A","","Alabama -- Statewide","Private","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",4398,91172,718609168,0,0,152,7882,"",0.75,0.78,0.76,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","72","74","0","1990","A","","Autauga County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",32,519,3764198,0,0,140,7256,"",0.77,0.90,0.90,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","72","74","0","1990","A","","Baldwin County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",180,3967,35175658,0,0,171,8868,"",1.14,1.96,2.91,0.00,0.00,1.49,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","72","74","0","1990","A","","Blount County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",31,298,2098672,0,0,135,7035,"",0.78,0.57,0.70,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","1","72","74","0","1990","A","","Calhoun County, Alabama","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,48,464808,0,0,186,9650,"",8.43,4.77,5.66,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","72","74","0","1990","A","","Calhoun County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",118,2749,20437463,0,0,143,7436,"",0.81,0.83,0.84,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","72","74","0","1990","A","","Chambers County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",34,509,3516253,0,0,133,6909,"",0.88,0.52,0.52,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","72","74","0","1990","A","","Chilton County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",30,410,2532753,0,0,119,6175,"",0.74,0.90,0.94,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","72","74","0","1990","A","","Clay County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",7,37,192259,0,0,99,5173,"",0.43,0.11,0.10,0.00,0.00,0.89,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","72","74","0","1990","A","","Cleburne County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",11,81,493183,0,0,117,6076,"",0.86,0.44,0.44,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","72","74","0","1990","A","","Coffee County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",42,716,4559807,0,0,122,6368,"",0.75,0.78,0.84,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","72","74","0","1990","A","","Colbert County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",72,1237,8823231,0,0,137,7136,"",0.87,0.75,0.59,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","72","74","0","1990","A","","Covington County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",39,475,3164296,0,0,128,6662,"",0.70,0.49,0.53,0.00,0.00,1.09,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","72","74","0","1990","A","","Cullman County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",57,1362,11055930,0,0,156,8119,"",0.64,0.91,1.10,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","1","72","74","0","1990","A","","Dale County, Alabama","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,75,795652,0,0,203,10562,"",24.06,18.53,21.95,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","72","74","0","1990","A","","Dallas County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",52,687,4859399,0,0,136,7076,"",0.71,0.56,0.62,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","72","74","0","1990","A","","DeKalb County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",56,914,6474597,0,0,136,7085,"",0.81,0.67,0.76,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","72","74","0","1990","A","","Elmore County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",28,493,4344246,0,0,169,8810,"",0.58,0.70,0.90,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","72","74","0","1990","A","","Escambia County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",40,606,4153738,0,0,132,6851,"",0.72,0.68,0.68,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","72","74","0","1990","A","","Etowah County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",105,2220,15971632,0,0,138,7196,"",0.85,0.90,0.83,0.00,0.00,0.91,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","72","74","0","1990","A","","Franklin County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",25,372,2180662,0,0,113,5857,"",0.65,0.61,0.58,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","72","74","0","1990","A","","Houston County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",128,2993,22261731,0,0,143,7437,"",0.81,1.00,0.99,0.00,0.00,0.99,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","72","74","0","1990","A","","Jefferson County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",697,17398,153146358,0,0,169,8803,"",0.65,0.70,0.68,0.00,0.00,0.96,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","72","74","0","1990","A","","Lauderdale County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",94,1839,13673260,0,0,143,7434,"",0.82,0.95,1.09,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","72","74","0","1990","A","","Lee County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",129,2778,18342990,0,0,127,6603,"",1.22,1.13,0.98,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","72","74","0","1990","A","","Limestone County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",58,1252,8710259,0,0,134,6958,"",0.94,0.82,0.52,0.00,0.00,0.64,0.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","1","72","74","0","1990","A","","Madison County, Alabama","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,19,200128,0,0,206,10721,"",3.26,0.64,0.60,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","72","74","0","1990","A","","Madison County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",308,8343,68839794,0,0,159,8251,"",0.82,0.85,0.70,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01091","5","72","74","0","1990","A","","Marengo County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",27,285,1855981,0,0,125,6503,"",0.80,0.55,0.54,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01095","5","72","74","0","1990","A","","Marshall County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",98,1632,11728770,0,0,138,7185,"",0.88,0.74,0.83,0.00,0.00,1.11,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","72","74","0","1990","A","","Mobile County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",379,9402,84431057,0,0,173,8980,"",0.69,0.89,0.98,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","1","72","74","0","1990","A","","Montgomery County, Alabama","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,205,1622037,0,0,152,7922,"",6.65,8.13,7.31,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","72","74","0","1990","A","","Montgomery County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",232,6758,52285993,0,0,149,7737,"",0.63,0.82,0.79,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","72","74","0","1990","A","","Morgan County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",136,2585,19664415,0,0,146,7607,"",0.89,0.85,0.83,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01105","5","72","74","0","1990","A","","Perry County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",13,101,681222,0,0,130,6762,"",0.99,0.47,0.60,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","5","72","74","0","1990","A","","Pike County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",37,741,4489065,0,0,117,6059,"",0.90,0.97,0.91,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01113","5","72","74","0","1990","A","","Russell County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",51,820,5801095,0,0,136,7072,"",0.90,0.92,0.93,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01115","5","72","74","0","1990","A","","St. Clair County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",49,697,5010079,0,0,138,7186,"",0.97,0.99,1.07,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","72","74","0","1990","A","","Shelby County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",83,1619,13486820,0,0,160,8333,"",0.60,0.78,0.77,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01121","5","72","74","0","1990","A","","Talladega County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",69,1017,6667172,0,0,126,6558,"",0.87,0.60,0.52,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","5","72","74","0","1990","A","","Tallapoosa County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",33,592,4183604,0,0,136,7062,"",0.69,0.48,0.50,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","5","72","74","0","1990","A","","Tuscaloosa County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",197,4326,32001491,0,0,142,7397,"",0.95,0.95,0.85,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01127","5","72","74","0","1990","A","","Walker County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",71,981,7003870,0,0,137,7141,"",0.79,0.72,0.64,0.00,0.00,0.88,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01131","5","72","74","0","1990","A","","Wilcox County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",15,110,748839,0,0,131,6823,"",0.79,0.38,0.31,0.00,0.00,0.83,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","1","72","54","0","1990","A","","Alaska -- Statewide","Federal Government","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",8,240,2338809,0,0,187,9738,"",9.57,4.62,3.46,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","72","54","0","1990","A","","Alaska -- Statewide","Private","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",1243,18421,235309095,0,0,246,12774,"",1.21,1.08,1.17,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02016","5","72","74","0","1990","A","","Aleutian West Census Area, Alaska","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",8,95,1138239,0,0,231,11992,"",0.71,0.34,0.37,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","1","72","74","0","1990","A","","Anchorage Borough, Alaska","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,94,1208347,0,0,247,12866,"",6.10,3.86,3.69,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","72","74","0","1990","A","","Anchorage Borough, Alaska","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",441,9578,140060601,0,0,281,14623,"",1.10,1.20,1.44,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02050","5","72","74","0","1990","A","","Bethel Census Area, Alaska","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",10,43,484706,0,0,216,11250,"",0.56,0.13,0.16,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","1","72","74","0","1990","A","","Fairbanks North Star Borough, Alaska","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,64,659023,0,0,197,10231,"",21.12,10.79,9.12,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","5","72","74","0","1990","A","","Fairbanks North Star Borough, Alaska","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",139,2402,24158082,0,0,193,10058,"",1.20,1.23,1.13,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
