"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","42","54","0","2000","A","","Alabama -- Statewide","Private","Wholesale trade","State, NAICS Sector -- by ownership sector","All establishment sizes",8887,81159,3162686890,0,0,749,38969,"",1.09,0.98,0.96,0.00,0.00,0.98,0.98,"",258,3.0,1268,1.6,187885894,6.3,0,0.0,0,0.0,33,4.6,1733,4.7
"01001","5","42","74","0","2000","A","","Autauga County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",35,106,4056718,0,0,735,38211,"",0.59,0.22,0.25,0.00,0.00,1.11,1.11,"",-1,-2.8,11,11.6,874692,27.5,0,0.0,0,0.0,89,13.8,4628,13.8
"01003","5","42","74","0","2000","A","","Baldwin County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",192,1280,39717964,0,0,597,31032,"",0.65,0.59,0.59,0.00,0.00,1.00,1.00,"",9,4.9,119,10.2,4460967,12.7,0,0.0,0,0.0,13,2.2,651,2.1
"01009","5","42","74","0","2000","A","","Blount County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",43,291,9717750,0,0,643,33413,"",0.73,0.72,0.78,0.00,0.00,1.09,1.08,"",1,2.4,16,5.8,954724,10.9,0,0.0,0,0.0,30,4.9,1547,4.9
"01011","5","42","74","0","2000","A","","Bullock County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",9,24,408260,0,0,325,16894,"",0.68,0.15,0.09,0.00,0.00,0.58,0.58,"",-1,-10.0,-3,-11.1,-62826,-13.3,0,0.0,0,0.0,-12,-3.6,-608,-3.5
"01013","5","42","74","0","2000","A","","Butler County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",27,130,4402773,0,0,651,33846,"",0.69,0.45,0.52,0.00,0.00,1.17,1.17,"",-3,-10.0,-10,-7.1,-109301,-2.4,0,0.0,0,0.0,32,5.2,1636,5.1
"01015","5","42","74","0","2000","A","","Calhoun County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",129,2015,69049910,0,0,659,34275,"",0.69,0.96,0.95,0.00,0.00,0.99,0.99,"",-2,-1.5,27,1.4,4740491,7.4,0,0.0,0,0.0,37,5.9,1932,6.0
"01019","5","42","74","0","2000","A","","Cherokee County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",19,145,3061789,0,0,405,21055,"",0.64,0.70,0.50,0.00,0.00,0.72,0.72,"",1,5.6,-10,-6.5,-107631,-3.4,0,0.0,0,0.0,11,2.8,563,2.7
"01025","5","42","74","0","2000","A","","Clarke County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",20,93,2711147,0,0,563,29283,"",0.35,0.21,0.18,0.00,0.00,0.88,0.88,"",0,0.0,-11,-10.6,-19056,-0.7,0,0.0,0,0.0,59,11.7,3094,11.8
"01031","5","42","74","0","2000","A","","Coffee County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",42,396,10031958,0,0,487,25323,"",0.59,0.63,0.55,0.00,0.00,0.87,0.87,"",0,0.0,3,0.8,335405,3.5,0,0.0,0,0.0,13,2.7,671,2.7
"01033","5","42","74","0","2000","A","","Colbert County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",100,1059,33002955,0,0,599,31169,"",0.97,1.09,0.88,0.00,0.00,0.81,0.81,"",-2,-2.0,-14,-1.3,232438,0.7,0,0.0,0,0.0,12,2.0,633,2.1
"01039","5","42","74","0","2000","A","","Covington County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",50,670,17365192,0,0,498,25909,"",0.71,1.16,0.96,0.00,0.00,0.83,0.83,"",-2,-3.8,-11,-1.6,388460,2.3,0,0.0,0,0.0,18,3.8,965,3.9
"01041","5","42","74","0","2000","A","","Crenshaw County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",17,552,17298038,0,0,602,31318,"",0.80,4.06,4.17,0.00,0.00,1.03,1.03,"",1,6.2,14,2.6,508383,3.0,0,0.0,0,0.0,2,0.3,120,0.4
"01047","5","42","74","0","2000","A","","Dallas County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",49,333,10117242,0,0,584,30382,"",0.60,0.43,0.41,0.00,0.00,0.96,0.96,"",2,4.3,-16,-4.6,449082,4.6,0,0.0,0,0.0,50,9.4,2640,9.5
"01049","5","42","74","0","2000","A","","DeKalb County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",53,596,15717720,0,0,507,26383,"",0.56,0.55,0.45,0.00,0.00,0.82,0.82,"",0,0.0,83,16.2,2637515,20.2,0,0.0,0,0.0,16,3.3,865,3.4
"01051","5","42","74","0","2000","A","","Elmore County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",39,220,6378326,0,0,558,29036,"",0.50,0.37,0.33,0.00,0.00,0.91,0.91,"",0,0.0,-47,-17.6,-1440865,-18.4,0,0.0,0,0.0,-5,-0.9,-259,-0.9
"01055","5","42","74","0","2000","A","","Etowah County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",110,1226,36072879,0,0,566,29423,"",0.69,0.74,0.63,0.00,0.00,0.85,0.85,"",-3,-2.7,-4,-0.3,1327186,3.8,0,0.0,0,0.0,23,4.2,1178,4.2
"01059","5","42","74","0","2000","A","","Franklin County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",29,193,4289078,0,0,428,22281,"",0.62,0.39,0.29,0.00,0.00,0.75,0.75,"",-4,-12.1,-31,-13.8,-1366823,-24.2,0,0.0,0,0.0,-57,-11.8,-2940,-11.7
"01061","5","42","74","0","2000","A","","Geneva County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",27,358,10002744,0,0,537,27915,"",0.74,1.41,1.43,0.00,0.00,1.01,1.01,"",2,8.0,-5,-1.4,254509,2.6,0,0.0,0,0.0,20,3.9,1023,3.8
"01063","5","42","74","0","2000","A","","Greene County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",6,20,237973,0,0,233,12100,"",0.48,0.22,0.08,0.00,0.00,0.39,0.39,"",-1,-14.3,-2,-9.1,71118,42.6,0,0.0,0,0.0,90,62.9,4657,62.6
"01065","5","42","74","0","2000","A","","Hale County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",11,47,1161678,0,0,476,24760,"",0.53,0.28,0.24,0.00,0.00,0.85,0.85,"",0,0.0,-3,-6.0,-83563,-6.7,0,0.0,0,0.0,-5,-1.0,-270,-1.1
"01067","5","42","74","0","2000","A","","Henry County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",14,115,3380027,0,0,566,29413,"",0.56,0.57,0.53,0.00,0.00,0.92,0.92,"",1,7.7,1,0.9,252045,8.1,0,0.0,0,0.0,40,7.6,2074,7.6
"01069","5","42","74","0","2000","A","","Houston County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",191,2246,67210323,0,0,576,29928,"",0.90,1.07,0.89,0.00,0.00,0.83,0.83,"",5,2.7,-38,-1.7,223378,0.3,0,0.0,0,0.0,12,2.1,602,2.1
"01071","5","42","74","0","2000","A","","Jackson County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",51,517,13354121,0,0,496,25813,"",0.73,0.65,0.47,0.00,0.00,0.72,0.72,"",-3,-5.6,11,2.2,-1733850,-11.5,0,0.0,0,0.0,-77,-13.4,-4000,-13.4
"01073","5","42","74","0","2000","A","","Jefferson County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1576,22118,945563246,0,0,822,42750,"",1.15,1.30,1.20,0.00,0.00,0.92,0.92,"",-8,-0.5,-71,-0.3,23179638,2.5,0,0.0,0,0.0,23,2.9,1180,2.8
"01077","5","42","74","0","2000","A","","Lauderdale County, Alabama","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",93,1475,38794061,0,0,506,26308,"",0.64,1.07,0.89,0.00,0.00,0.84,0.84,"",-2,-2.1,-77,-5.0,-833413,-2.1,0,0.0,0,0.0,15,3.1,773,3.0
