"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","53","54","0","2000","A","","Alabama -- Statewide","Local Government","Real estate and rental and leasing","State, NAICS Sector -- by ownership sector","All establishment sizes",145,2384,67442620,0,0,544,28285,"",6.24,3.36,3.73,0.00,0.00,1.11,1.11,"",1,0.7,-54,-2.2,5706093,9.2,0,0.0,0,0.0,57,11.7,2957,11.7
"01000","5","53","54","0","2000","A","","Alabama -- Statewide","Private","Real estate and rental and leasing","State, NAICS Sector -- by ownership sector","All establishment sizes",4298,23984,562091834,0,0,451,23437,"",0.97,0.82,0.74,0.00,0.00,0.90,0.90,"",112,2.7,766,3.3,39503658,7.6,0,0.0,0,0.0,18,4.2,929,4.1
"01001","5","53","74","0","2000","A","","Autauga County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",31,118,2742025,0,0,448,23287,"",0.97,0.70,0.72,0.00,0.00,1.02,1.03,"",2,6.9,5,4.4,44870,1.7,0,0.0,0,0.0,-9,-2.0,-494,-2.1
"01003","5","53","74","0","2000","A","","Baldwin County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",232,1565,31152309,0,0,383,19905,"",1.46,2.05,2.00,0.00,0.00,0.97,0.97,"",9,4.0,38,2.5,2832700,10.0,0,0.0,0,0.0,26,7.3,1358,7.3
"01005","5","53","74","0","2000","A","","Barbour County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,70,1130540,0,0,310,16112,"",1.02,0.38,0.29,0.00,0.00,0.77,0.77,"",1,3.8,3,4.5,187244,19.8,0,0.0,0,0.0,39,14.4,1998,14.2
"01007","5","53","74","0","2000","A","","Bibb County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,53,569814,0,0,207,10751,"",0.85,0.88,0.49,0.00,0.00,0.55,0.56,"",0,0.0,13,32.5,37303,7.0,0,0.0,0,0.0,-47,-18.5,-2479,-18.7
"01009","5","53","74","0","2000","A","","Blount County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,54,769877,0,0,276,14368,"",0.66,0.38,0.27,0.00,0.00,0.71,0.71,"",-1,-4.5,-14,-20.6,-156926,-16.9,0,0.0,0,0.0,12,4.5,638,4.6
"01011","5","53","74","0","2000","A","","Bullock County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,35,539663,0,0,298,15493,"",1.26,0.64,0.51,0.00,0.00,0.80,0.80,"",1,12.5,-2,-5.4,17091,3.3,0,0.0,0,0.0,29,10.8,1496,10.7
"01013","5","53","74","0","2000","A","","Butler County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,44,553968,0,0,241,12519,"",0.95,0.43,0.28,0.00,0.00,0.65,0.65,"",0,0.0,-5,-10.2,-55326,-9.1,0,0.0,0,0.0,2,0.8,84,0.7
"01015","5","53","74","0","2000","A","","Calhoun County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",86,474,9222229,0,0,374,19446,"",0.85,0.64,0.55,0.00,0.00,0.85,0.85,"",7,8.9,64,15.6,905072,10.9,0,0.0,0,0.0,-17,-4.3,-860,-4.2
"01017","5","53","74","0","2000","A","","Chambers County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,54,820636,0,0,291,15127,"",0.64,0.28,0.19,0.00,0.00,0.67,0.67,"",0,0.0,0,0.0,7669,0.9,0,0.0,0,0.0,-1,-0.3,-45,-0.3
"01019","5","53","74","0","2000","A","","Cherokee County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,40,616765,0,0,298,15484,"",1.06,0.54,0.43,0.00,0.00,0.80,0.80,"",1,6.2,-3,-7.0,19708,3.3,0,0.0,0,0.0,34,12.9,1732,12.6
"01021","5","53","74","0","2000","A","","Chilton County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,63,789629,0,0,240,12484,"",0.67,0.48,0.31,0.00,0.00,0.64,0.64,"",4,23.5,4,6.8,71808,10.0,0,0.0,0,0.0,5,2.1,266,2.2
"01025","5","53","74","0","2000","A","","Clarke County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",26,55,641947,0,0,226,11761,"",0.84,0.35,0.19,0.00,0.00,0.54,0.54,"",2,8.3,5,10.0,135832,26.8,0,0.0,0,0.0,30,15.3,1588,15.6
"01027","5","53","74","0","2000","A","","Clay County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,18,203217,0,0,214,11135,"",0.48,0.22,0.13,0.00,0.00,0.59,0.59,"",1,25.0,7,63.6,126561,165.1,0,0.0,0,0.0,85,65.9,4421,65.8
"01031","5","53","74","0","2000","A","","Coffee County, Alabama","Private","Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",38,147,2374258,0,0,310,16142,"",0.99,0.66,0.56,0.00,0.00,0.84,0.84,"",1,2.7,10,7.3,172443,7.8,0,0.0,0,0.0,1,0.3,70,0.4
