"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","62","54","0","2000","A","","Alabama -- Statewide","Federal Government","Health care and social assistance","State, NAICS Sector -- by ownership sector","All establishment sizes",9,4308,188624032,0,0,842,43788,"",1.29,1.26,1.42,0.00,0.00,1.13,1.13,"",-1,-10.0,-186,-4.1,8349741,4.6,0,0.0,0,0.0,71,9.2,3671,9.2
"01000","2","62","54","0","2000","A","","Alabama -- Statewide","State Government","Health care and social assistance","State, NAICS Sector -- by ownership sector","All establishment sizes",131,13945,441565319,0,0,609,31665,"",1.44,1.56,1.81,0.00,0.00,1.16,1.16,"",-8,-5.8,-327,-2.3,4767082,1.1,0,0.0,0,0.0,20,3.4,1059,3.5
"01000","3","62","54","0","2000","A","","Alabama -- Statewide","Local Government","Health care and social assistance","State, NAICS Sector -- by ownership sector","All establishment sizes",198,30432,843449625,0,0,533,27716,"",2.35,2.59,2.78,0.00,0.00,1.07,1.08,"",-6,-2.9,676,2.3,15701964,1.9,0,0.0,0,0.0,-2,-0.4,-102,-0.4
"01000","5","62","54","0","2000","A","","Alabama -- Statewide","Private","Health care and social assistance","State, NAICS Sector -- by ownership sector","All establishment sizes",8085,155049,4828401195,0,0,599,31141,"",0.92,0.85,1.03,0.00,0.00,1.21,1.21,"",206,2.6,2214,1.4,253403146,5.5,0,0.0,0,0.0,23,4.0,1207,4.0
"01003","5","62","74","0","2000","A","","Baldwin County, Alabama","Private","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",256,3512,100884011,0,0,552,28727,"",0.81,0.74,1.05,0.00,0.00,1.42,1.42,"",14,5.8,362,11.5,16648957,19.8,0,0.0,0,0.0,38,7.4,1982,7.4
"01011","5","62","74","0","2000","A","","Bullock County, Alabama","Private","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",15,309,6365119,0,0,396,20588,"",1.06,0.90,0.98,0.00,0.00,1.08,1.08,"",2,15.4,16,5.5,589390,10.2,0,0.0,0,0.0,16,4.2,853,4.3
"01015","3","62","74","0","2000","A","","Calhoun County, Alabama","Local Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",11,1788,46522890,0,0,500,26023,"",5.70,6.00,6.94,0.00,0.00,1.15,1.16,"",0,0.0,53,3.1,2252714,5.1,0,0.0,0,0.0,9,1.8,508,2.0
"01015","5","62","74","0","2000","A","","Calhoun County, Alabama","Private","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",241,3576,100858272,0,0,542,28203,"",1.20,0.78,0.98,0.00,0.00,1.25,1.25,"",4,1.7,68,1.9,5530519,5.8,0,0.0,0,0.0,19,3.6,1027,3.8
"01019","5","62","74","0","2000","A","","Cherokee County, Alabama","Private","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",15,241,5927603,0,0,473,24596,"",0.47,0.53,0.68,0.00,0.00,1.28,1.28,"",0,0.0,-4,-1.6,62536,1.1,0,0.0,0,0.0,13,2.8,665,2.8
"01027","5","62","74","0","2000","A","","Clay County, Alabama","Private","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",15,214,4395624,0,0,395,20516,"",0.72,0.42,0.47,0.00,0.00,1.11,1.11,"",0,0.0,-7,-3.2,79747,1.8,0,0.0,0,0.0,20,5.3,1002,5.1
