"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","81","54","0","2000","A","","Alabama -- Statewide","Federal Government","Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",1,7,169656,0,0,489,25448,"",0.72,0.06,0.06,0.00,0.00,1.01,1.01,"",0,0.0,-2,-22.2,-48809,-22.3,0,0.0,0,0.0,4,0.8,240,1.0
"01000","3","81","54","0","2000","A","","Alabama -- Statewide","Local Government","Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",32,945,15323857,0,0,312,16216,"",1.04,1.54,1.07,0.00,0.00,0.69,0.69,"",1,3.2,39,4.3,1121206,7.9,0,0.0,0,0.0,11,3.7,540,3.4
"01000","5","81","54","0","2000","A","","Alabama -- Statewide","Private","Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",11064,50369,1028542088,0,0,393,20420,"",0.81,0.84,0.94,0.00,0.00,1.11,1.11,"",-48,-0.4,-101,-0.2,43020390,4.4,0,0.0,0,0.0,17,4.5,893,4.6
"01001","5","81","74","0","2000","A","","Autauga County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",73,418,5128338,0,0,236,12276,"",0.74,1.22,0.94,0.00,0.00,0.77,0.77,"",1,1.4,4,1.0,435317,9.3,0,0.0,0,0.0,18,8.3,938,8.3
"01003","5","81","74","0","2000","A","","Baldwin County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",356,1438,24860234,0,0,332,17289,"",0.73,0.92,1.11,0.00,0.00,1.20,1.20,"",20,6.0,116,8.8,1711921,7.4,0,0.0,0,0.0,-5,-1.5,-225,-1.3
"01005","5","81","74","0","2000","A","","Barbour County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",57,143,2237151,0,0,301,15635,"",0.69,0.38,0.40,0.00,0.00,1.07,1.07,"",-1,-1.7,-20,-12.3,-149252,-6.3,0,0.0,0,0.0,20,7.1,1024,7.0
"01007","5","81","74","0","2000","A","","Bibb County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",21,120,2332791,0,0,374,19453,"",0.48,0.97,1.39,0.00,0.00,1.43,1.43,"",-3,-12.5,-6,-4.8,10528,0.5,0,0.0,0,0.0,20,5.6,1047,5.7
"01009","5","81","74","0","2000","A","","Blount County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",76,281,5918969,0,0,405,21083,"",0.78,0.96,1.42,0.00,0.00,1.47,1.48,"",4,5.6,-41,-12.7,-1443070,-19.6,0,0.0,0,0.0,-34,-7.7,-1763,-7.7
"01011","5","81","74","0","2000","A","","Bullock County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",15,37,595643,0,0,309,16062,"",0.68,0.33,0.39,0.00,0.00,1.18,1.18,"",0,0.0,-16,-30.2,-440748,-42.5,0,0.0,0,0.0,-68,-18.0,-3523,-18.0
"01013","5","81","74","0","2000","A","","Butler County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",55,208,2792773,0,0,258,13416,"",0.84,0.99,0.98,0.00,0.00,1.00,1.00,"",-2,-3.5,-2,-1.0,209812,8.1,0,0.0,0,0.0,22,9.3,1126,9.2
"01015","5","81","74","0","2000","A","","Calhoun County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",269,1055,19907321,0,0,363,18874,"",0.86,0.70,0.82,0.00,0.00,1.18,1.18,"",-7,-2.5,-47,-4.3,1001649,5.3,0,0.0,0,0.0,33,10.0,1721,10.0
"01017","5","81","74","0","2000","A","","Chambers County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",58,205,3736585,0,0,350,18205,"",0.71,0.52,0.60,0.00,0.00,1.15,1.15,"",-5,-7.9,-11,-5.1,81245,2.2,0,0.0,0,0.0,25,7.7,1315,7.8
"01019","5","81","74","0","2000","A","","Cherokee County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",36,80,1387701,0,0,335,17419,"",0.72,0.53,0.68,0.00,0.00,1.28,1.28,"",1,2.9,4,5.3,184435,15.3,0,0.0,0,0.0,31,10.2,1587,10.0
"01021","5","81","74","0","2000","A","","Chilton County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",77,288,5099946,0,0,341,17724,"",0.80,1.07,1.38,0.00,0.00,1.29,1.29,"",3,4.1,11,4.0,486692,10.5,0,0.0,0,0.0,21,6.6,1060,6.4
"01023","5","81","74","0","2000","A","","Choctaw County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",37,93,1202243,0,0,249,12927,"",0.85,0.61,0.35,0.00,0.00,0.56,0.56,"",2,5.7,0,0.0,29493,2.5,0,0.0,0,0.0,5,2.0,249,2.0
"01025","5","81","74","0","2000","A","","Clarke County, Alabama","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",89,268,4415377,0,0,317,16491,"",0.93,0.84,0.90,0.00,0.00,1.07,1.07,"",-4,-4.3,-9,-3.2,34208,0.8,0,0.0,0,0.0,12,3.9,646,4.1
