"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","22","54","0","2010","A","","Alabama -- Statewide","Federal Government","Utilities","State, NAICS Sector -- by ownership sector","All establishment sizes",11,2051,198998282,0,0,1865,97005,"",5.72,10.70,13.39,0.00,0.00,1.25,1.25,"",0,0.0,83,4.2,42559969,27.2,0,0.0,0,0.0,336,22.0,17497,22.0
"01000","3","22","54","0","2010","A","","Alabama -- Statewide","Local Government","Utilities","State, NAICS Sector -- by ownership sector","All establishment sizes",343,7032,321036702,9429761,209936,878,45651,"",3.15,2.04,1.80,1.49,2.44,0.88,0.88,"",2,0.6,-63,-0.9,5147732,1.6,289997,3.2,129795,162.0,22,2.6,1131,2.5
"01000","5","22","54","0","2010","A","","Alabama -- Statewide","Private","Utilities","State, NAICS Sector -- by ownership sector","All establishment sizes",377,14096,1109449965,118389883,2566575,1514,78709,"",1.74,1.80,1.90,1.58,1.95,1.05,1.05,"",-2,-0.5,685,5.1,23641660,2.2,6130625,5.5,1662048,183.7,-43,-2.8,-2255,-2.8
"01001","3","22","74","0","2010","A","N","Autauga County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",3.67,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","22","74","0","2010","A","","Autauga County, Alabama","Private","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",4,95,8848674,789565,16501,1794,93308,"",2.46,2.06,3.26,2.05,2.63,1.58,1.58,"",0,0.0,0,0.0,431697,5.1,28004,3.7,10865,192.8,89,5.2,4630,5.2
"01003","3","22","74","0","2010","A","N","Baldwin County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,"N",2.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","22","74","0","2010","A","","Baldwin County, Alabama","Private","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",8,275,15217073,2366672,58938,1063,55251,"",0.83,1.10,1.05,0.93,1.43,0.95,0.95,"",0,0.0,-4,-1.4,115583,0.8,42768,1.8,40082,212.6,22,2.1,1108,2.0
"01005","3","22","74","0","2010","A","","Barbour County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",6,54,1477237,134364,2809,525,27314,"",10.59,3.03,2.13,3.99,5.97,0.70,0.70,"",0,0.0,0,0.0,-7465,-0.5,5488,4.3,1855,194.4,-2,-0.4,-96,-0.4
"01005","5","22","74","0","2010","A","N","Barbour County, Alabama","Private","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,"N",6.20,0,0,0,0,0,0,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","22","74","0","2010","A","N","Bibb County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",9.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","22","74","0","2010","A","N","Bibb County, Alabama","Private","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",4.68,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","22","74","0","2010","A","","Blount County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",6,77,2690249,321303,7314,675,35090,"",8.54,4.89,4.55,12.49,20.96,0.93,0.93,"",0,0.0,-3,-3.8,-16032,-0.6,14063,4.6,4561,165.7,26,4.0,1367,4.1
"01009","5","22","74","0","2010","A","N","Blount County, Alabama","Private","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","3","22","74","0","2010","A","N","Bullock County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","22","74","0","2010","A","N","Bullock County, Alabama","Private","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",7.04,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","3","22","74","0","2010","A","","Butler County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",3,23,842805,0,0,697,36250,"",6.53,1.89,1.86,0.00,0.00,0.97,0.97,"",0,0.0,1,4.5,-13710,-1.6,0,0.0,0,0.0,-57,-7.6,-2980,-7.6
"01013","5","22","74","0","2010","A","","Butler County, Alabama","Private","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",4,64,3839530,503495,12163,1154,59993,"",4.37,2.32,2.59,1.83,2.08,1.12,1.12,"",0,0.0,-2,-3.0,-254804,-6.2,873,0.2,6652,120.7,-44,-3.7,-2278,-3.7
"01015","3","22","74","0","2010","A","N","Calhoun County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,"N",2.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","22","74","0","2010","A","","Calhoun County, Alabama","Private","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",12,270,20239532,2213069,46254,1440,74892,"",2.57,1.35,1.46,1.33,1.53,1.08,1.08,"",-1,-7.7,-13,-4.6,-196311,-1.0,-8692,-0.4,28406,159.2,52,3.7,2702,3.7
"01017","3","22","74","0","2010","A","N","Chambers County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",3.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","22","74","0","2010","A","","Chambers County, Alabama","Private","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",5,79,4304693,627967,13852,1050,54605,"",4.47,2.45,2.34,2.22,2.79,0.96,0.96,"",0,0.0,3,3.9,-101196,-2.3,9726,1.6,7054,103.8,-69,-6.2,-3559,-6.1
"01019","3","22","74","0","2010","A","N","Cherokee County, Alabama","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",13.48,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0
