"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","31-33","54","0","2010","A","","Alabama -- Statewide","Private","Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",5159,236324,11431720802,2208880136,91047568,930,48373,"",1.16,1.45,1.42,1.38,1.43,0.98,0.98,"",-148,-2.8,-11220,-4.5,49779959,0.4,-84135430,-3.7,49637912,119.9,46,5.2,2393,5.2
"01001","5","31-33","74","0","2010","A","","Autauga County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",33,1095,64563250,9854941,410658,1133,58939,"",0.99,1.14,1.72,1.19,1.36,1.51,1.51,"",-3,-8.3,-93,-7.8,-5329278,-7.6,-1077561,-9.9,177875,76.4,1,0.1,82,0.1
"01003","5","31-33","74","0","2010","A","","Baldwin County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",167,3760,162855041,36587357,1425485,833,43313,"",0.85,0.72,0.81,0.67,0.72,1.13,1.13,"",-4,-2.3,-261,-6.5,-1515858,-0.9,163981,0.5,864171,154.0,47,6.0,2437,6.0
"01005","5","31-33","74","0","2010","A","","Barbour County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",35,3206,103280569,31408210,1172078,620,32217,"",1.51,3.80,3.29,3.67,3.37,0.87,0.86,"",-2,-5.4,-55,-1.7,1658491,1.6,1875940,6.4,616408,110.9,21,3.5,1052,3.4
"01007","5","31-33","74","0","2010","A","","Bibb County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,384,13043502,3451901,123271,653,33953,"",1.60,1.06,0.88,1.12,0.80,0.83,0.83,"",-2,-8.7,6,1.6,673762,5.4,83079,2.5,76683,164.6,24,3.8,1258,3.8
"01009","5","31-33","74","0","2010","A","","Blount County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",50,1413,43730615,13639855,621944,595,30958,"",1.74,1.90,1.64,2.09,2.41,0.86,0.86,"",-5,-9.1,-136,-8.8,-3003952,-6.4,-577684,-4.1,343830,123.6,15,2.6,784,2.6
"01011","5","31-33","74","0","2010","A","N","Bullock County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","31-33","74","0","2010","A","","Butler County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",22,998,35204743,9751777,494950,678,35275,"",1.17,1.74,1.72,1.66,1.75,0.99,0.99,"",-1,-4.3,117,13.3,6182973,21.3,1227931,14.4,214821,76.7,45,7.1,2336,7.1
"01015","5","31-33","74","0","2010","A","","Calhoun County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",140,5853,267305024,54149292,2547836,878,45670,"",1.46,1.40,1.40,1.52,1.75,1.00,1.00,"",-2,-1.4,-484,-7.6,-5712950,-2.1,-2648029,-4.7,1198481,88.8,49,5.9,2587,6.0
"01017","5","31-33","74","0","2010","A","","Chambers County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",30,1133,46861595,11320951,508916,796,41373,"",1.31,1.69,1.85,1.87,2.13,1.10,1.10,"",0,0.0,206,22.2,7330967,18.5,973672,9.4,275848,118.4,-24,-2.9,-1267,-3.0
"01019","5","31-33","74","0","2010","A","","Cherokee County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,998,34170310,9020378,585130,658,34230,"",1.78,2.30,2.15,2.33,3.00,0.93,0.93,"",1,3.8,-30,-2.9,3286836,10.6,-479843,-5.1,339808,138.5,80,13.8,4183,13.9
"01021","5","31-33","74","0","2010","A","","Chilton County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",57,1294,46033743,12216956,640017,684,35589,"",1.96,1.75,1.68,1.70,2.19,0.96,0.96,"",2,3.6,42,3.4,2553926,5.9,919304,8.1,433092,209.3,16,2.4,854,2.5
"01023","5","31-33","74","0","2010","A","","Choctaw County, Alabama","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,1143,89361273,9911781,261081,1503,78164,"",1.05,3.59,5.12,3.01,2.21,1.43,1.42,"",0,0.0,-42,-3.5,1755722,2.0,-389151,-3.8,138354,112.7,82,5.8,4261,5.8
