"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","51","54","0","2010","A","","Alabama -- Statewide","Federal Government","Information","State, NAICS Sector -- by ownership sector","All establishment sizes",2,12,465655,0,0,741,38537,"",1.26,0.11,0.07,0.00,0.00,0.65,0.65,"",0,0.0,1,9.1,44702,10.6,0,0.0,0,0.0,-6,-0.8,-320,-0.8
"01000","2","51","54","0","2010","A","","Alabama -- Statewide","State Government","Information","State, NAICS Sector -- by ownership sector","All establishment sizes",8,85,4768513,0,0,1084,56377,"",1.87,0.81,1.17,0.00,0.00,1.45,1.45,"",0,0.0,-7,-7.6,-340105,-6.7,0,0.0,0,0.0,20,1.9,1049,1.9
"01000","3","51","54","0","2010","A","","Alabama -- Statewide","Local Government","Information","State, NAICS Sector -- by ownership sector","All establishment sizes",60,763,15790748,734469,17173,398,20705,"",0.90,0.41,0.35,0.34,0.70,0.85,0.85,"",0,0.0,-15,-1.9,-328173,-2.0,9641,1.3,7250,73.1,-1,-0.3,-22,-0.1
"01000","5","51","54","0","2010","A","","Alabama -- Statewide","Private","Information","State, NAICS Sector -- by ownership sector","All establishment sizes",1544,24048,1161687659,214995413,7144510,929,48306,"",0.83,0.63,0.47,0.55,0.51,0.75,0.75,"",0,0.0,-860,-3.5,-28877113,-2.4,-8370789,-3.7,3806036,114.0,10,1.1,508,1.1
"01001","3","51","74","0","2010","A","N","Autauga County, Alabama","Local Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","51","74","0","2010","A","","Autauga County, Alabama","Private","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",8,39,2142088,345456,12763,1065,55399,"",0.57,0.17,0.19,0.17,0.19,1.10,1.10,"",1,14.3,-2,-4.9,63591,3.1,-1149,-0.3,6745,112.1,88,9.0,4601,9.1
"01003","2","51","74","0","2010","A","N","Baldwin County, Alabama","State Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",5.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","51","74","0","2010","A","N","Baldwin County, Alabama","Local Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","51","74","0","2010","A","","Baldwin County, Alabama","Private","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",59,487,18352422,4255223,139100,724,37672,"",0.71,0.40,0.30,0.32,0.32,0.76,0.76,"",4,7.3,-6,-1.2,-204514,-1.1,-216993,-4.9,79401,133.0,1,0.1,57,0.2
"01005","5","51","74","0","2010","A","","Barbour County, Alabama","Private","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",6,27,1150819,216917,6951,835,43427,"",0.62,0.14,0.12,0.10,0.09,0.90,0.90,"",1,20.0,-4,-12.9,-38453,-3.2,-2694,-1.2,4557,190.4,93,12.5,4856,12.6
"01007","3","51","74","0","2010","A","N","Bibb County, Alabama","Local Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",5.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
