"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","52","54","0","2010","A","","Alabama -- Statewide","Federal Government","Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",20,181,12565372,0,0,1338,69582,"",1.75,0.80,0.69,0.00,0.00,0.86,0.86,"",-1,-4.8,25,16.0,2110192,20.2,0,0.0,0,0.0,46,3.6,2418,3.6
"01000","2","52","54","0","2010","A","N","Alabama -- Statewide","State Government","Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","52","54","0","2010","A","N","Alabama -- Statewide","Local Government","Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","52","54","0","2010","A","","Alabama -- Statewide","Private","Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",7398,67744,3927054929,628726508,18246843,1115,57969,"",1.22,0.87,0.69,0.81,0.77,0.80,0.80,"",-66,-0.9,-2210,-3.2,-145798642,-3.6,-2163494,-0.3,9281128,103.5,-5,-0.4,-253,-0.4
"01001","5","52","74","0","2010","A","","Autauga County, Alabama","Private","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",68,340,12427160,2828562,77681,704,36604,"",1.49,0.74,0.47,0.70,0.69,0.64,0.64,"",2,3.0,23,7.3,1180798,10.5,456711,19.3,44362,133.1,22,3.2,1154,3.3
"01003","1","52","74","0","2010","A","","Baldwin County, Alabama","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,747195,0,0,1241,64506,"",1.98,1.65,1.65,0.00,0.00,1.04,1.04,"",0,0.0,1,9.1,15970,2.2,0,0.0,0,0.0,9,0.7,457,0.7
"01003","3","52","74","0","2010","A","N","Baldwin County, Alabama","Local Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",10.80,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","52","74","0","2010","A","","Baldwin County, Alabama","Private","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",325,1755,77952315,16211243,491141,854,44430,"",1.21,0.70,0.55,0.61,0.66,0.79,0.79,"",-7,-2.1,-85,-4.6,-2603755,-3.2,1385160,9.3,289625,143.7,12,1.4,657,1.5
"01005","5","52","74","0","2010","A","","Barbour County, Alabama","Private","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",42,207,7429235,1597739,44648,691,35948,"",1.33,0.51,0.34,0.38,0.34,0.66,0.66,"",0,0.0,-2,-1.0,156977,2.2,-33308,-2.0,25625,134.7,21,3.1,1097,3.1
"01007","5","52","74","0","2010","A","","Bibb County, Alabama","Private","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",16,83,2778535,617201,14061,647,33645,"",0.89,0.48,0.27,0.41,0.25,0.56,0.56,"",1,6.7,11,15.3,328704,13.4,78757,14.6,8917,173.3,-9,-1.4,-459,-1.3
