"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","54","54","0","2010","A","","Alabama -- Statewide","Federal Government","Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",39,1747,144838950,0,0,1594,82903,"",2.06,1.73,2.01,0.00,0.00,1.16,1.16,"",0,0.0,106,6.5,10190782,7.6,0,0.0,0,0.0,16,1.0,842,1.0
"01000","2","54","54","0","2010","A","N","Alabama -- Statewide","State Government","Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","54","54","0","2010","A","","Alabama -- Statewide","Local Government","Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",17,297,11475272,611180,21873,742,38594,"",1.40,1.13,0.98,1.45,3.28,0.87,0.87,"",3,21.4,-1,-0.3,-101198,-0.9,83727,15.9,13373,157.3,-6,-0.8,-286,-0.7
"01000","5","54","54","0","2010","A","","Alabama -- Statewide","Private","Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",12136,94263,6234155646,899438332,25117002,1272,66136,"",0.92,0.89,0.88,0.85,0.70,0.99,0.99,"",18,0.1,-1451,-1.5,16116618,0.3,3176578,0.4,12814694,104.2,23,1.8,1171,1.8
"01001","5","54","74","0","2010","A","","Autauga County, Alabama","Private","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",66,239,9137295,2338927,89013,735,38218,"",0.66,0.38,0.28,0.43,0.52,0.73,0.73,"",-3,-4.3,-15,-5.9,-1205005,-11.7,-26414,-1.1,35057,65.0,-47,-6.0,-2433,-6.0
"01003","5","54","74","0","2010","A","","Baldwin County, Alabama","Private","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",481,1652,74681956,15529082,438174,869,45214,"",0.82,0.49,0.43,0.43,0.39,0.88,0.88,"",12,2.6,-43,-2.5,-1062131,-1.4,-26688,-0.2,228972,109.5,10,1.2,536,1.2
"01005","5","54","74","0","2010","A","N","Barbour County, Alabama","Private","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",43,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,"N",-3,-6.5,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","54","74","0","2010","A","","Bibb County, Alabama","Private","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",16,48,1427405,398502,9876,573,29789,"",0.41,0.20,0.11,0.20,0.11,0.54,0.54,"",0,0.0,-62,-56.4,-3234881,-69.4,-662039,-62.4,-12896,-56.6,-240,-29.5,-12499,-29.6
"01009","5","54","74","0","2010","A","","Blount County, Alabama","Private","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",56,199,7941369,1786687,48083,766,39856,"",0.66,0.41,0.34,0.41,0.33,0.83,0.83,"",-1,-1.8,-8,-3.9,-440673,-5.3,-19860,-1.1,27427,132.8,-11,-1.4,-556,-1.4
"01011","5","54","74","0","2010","A","","Bullock County, Alabama","Private","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",8,21,1218735,165345,4971,1143,59450,"",0.46,0.12,0.14,0.10,0.09,1.22,1.22,"",1,14.3,3,16.7,222620,22.3,-21147,-11.3,2549,105.2,84,7.9,4365,7.9
