"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","55","54","0","2010","A","","Alabama -- Statewide","Private","Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",1332,15498,1155979613,221483255,6856575,1434,74590,"",1.97,0.59,0.52,0.65,0.67,0.88,0.88,"",123,10.2,-117,-0.7,77539287,7.2,1739134,0.8,3580828,109.3,106,8.0,5527,8.0
"01001","5","55","74","0","2010","A","N","Autauga County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","55","74","0","2010","A","","Baldwin County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",53,286,14928891,4181117,122682,1003,52138,"",1.77,0.34,0.27,0.36,0.38,0.80,0.80,"",3,6.0,-24,-7.7,-337293,-2.2,-90199,-2.1,70207,133.8,57,6.0,2958,6.0
"01005","5","55","74","0","2010","A","N","Barbour County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,"N",-2,-66.7,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","55","74","0","2010","A","","Bibb County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,23,1853756,268599,7426,1522,79164,"",1.50,0.39,0.46,0.41,0.30,1.14,1.14,"",0,0.0,3,15.0,141760,8.3,30760,12.9,1688,29.4,-159,-9.5,-8257,-9.4
"01009","5","55","74","0","2010","A","","Blount County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",4,23,2275467,258043,5453,1916,99655,"",0.92,0.19,0.31,0.19,0.13,1.62,1.63,"",0,0.0,8,53.3,676852,42.3,48810,23.3,1861,51.8,-145,-7.0,-7515,-7.0
"01013","5","55","74","0","2010","A","N","Butler County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","55","74","0","2010","A","","Calhoun County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",13,118,4791476,1928076,49574,782,40663,"",0.89,0.17,0.09,0.25,0.21,0.52,0.52,"",-2,-13.3,2,1.7,-683680,-12.5,134264,7.5,27274,122.3,-122,-13.5,-6368,-13.5
"01017","5","55","74","0","2010","A","N","Chambers County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","55","74","0","2010","A","N","Cherokee County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
