"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","71","54","0","2010","A","","Alabama -- Statewide","Federal Government","Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",20,386,8415976,0,0,419,21803,"",1.25,0.62,0.35,0.00,0.00,0.56,0.56,"",3,17.6,-11,-2.8,455365,5.7,0,0.0,0,0.0,33,8.5,1755,8.8
"01000","2","71","54","0","2010","A","N","Alabama -- Statewide","State Government","Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",16,0,0,0,0,0,0,"N",1.48,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","71","54","0","2010","A","","Alabama -- Statewide","Local Government","Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",37,2235,59217187,8418747,204568,509,26492,"",0.74,0.48,0.54,0.65,0.59,1.13,1.13,"",0,0.0,62,2.9,3843798,6.9,873787,11.6,118337,137.2,19,3.9,1007,4.0
"01000","5","71","54","0","2010","A","","Alabama -- Statewide","Private","Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",1120,16281,276557649,115551385,3221863,327,16987,"",0.69,0.60,0.37,0.62,0.49,0.61,0.61,"",-11,-1.0,-1435,-8.1,-27295927,-9.0,-10002253,-8.0,1404106,77.2,-3,-0.9,-165,-1.0
"01001","2","71","74","0","2010","A","N","Autauga County, Alabama","State Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","71","74","0","2010","A","","Autauga County, Alabama","Private","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",9,87,1076270,585993,12707,238,12359,"",0.74,0.55,0.31,0.61,0.40,0.56,0.56,"",1,12.5,-8,-8.4,-16614,-1.5,-25509,-4.2,6131,93.2,18,8.2,895,7.8
"01003","2","71","74","0","2010","A","N","Baldwin County, Alabama","State Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.09,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","71","74","0","2010","A","","Baldwin County, Alabama","Private","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",67,869,16445388,7041373,176896,364,18917,"",0.94,1.00,0.88,1.12,0.85,0.88,0.88,"",3,4.7,-28,-3.1,-105330,-0.6,-201305,-2.8,95552,117.5,9,2.5,456,2.5
"01005","2","71","74","0","2010","A","N","Barbour County, Alabama","State Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",17.78,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","3","71","74","0","2010","A","N","Barbour County, Alabama","Local Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.86,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","71","74","0","2010","A","","Barbour County, Alabama","Private","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",9,47,577973,311942,11558,238,12363,"",1.07,0.34,0.20,0.31,0.32,0.59,0.59,"",-1,-10.0,-20,-29.9,-170387,-22.8,-165400,-34.7,3409,41.8,23,10.7,1207,10.8
"01007","5","71","74","0","2010","A","","Bibb County, Alabama","Private","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",4,6,122926,56808,1285,389,20207,"",0.84,0.10,0.09,0.16,0.08,0.88,0.88,"",0,0.0,-3,-33.3,-3527,-2.8,-817,-1.4,858,200.9,103,36.0,5330,35.8
"01009","5","71","74","0","2010","A","","Blount County, Alabama","Private","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",10,159,1756600,862471,22285,212,11042,"",0.96,1.29,0.71,1.14,0.83,0.55,0.55,"",0,0.0,-9,-5.4,-15018,-0.8,-27259,-3.1,13139,143.7,9,4.4,470,4.4
"01011","5","71","74","0","2010","A","N","Bullock County, Alabama","Private","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","71","74","0","2010","A","","Butler County, Alabama","Private","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",4,103,1261292,473578,13115,235,12206,"",0.59,1.08,0.66,0.69,0.45,0.61,0.61,"",1,33.3,25,32.1,236855,23.1,58879,14.2,8744,200.0,-16,-6.4,-858,-6.6
"01015","1","71","74","0","2010","A","","Calhoun County, Alabama","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",2,5,180186,0,0,693,36037,"",5.80,0.32,0.32,0.00,0.00,1.01,1.01,"",0,0.0,-3,-37.5,-99497,-35.6,0,0.0,0,0.0,-9,-1.3,-443,-1.2
"01015","3","71","74","0","2010","A","N","Calhoun County, Alabama","Local Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.93,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","71","74","0","2010","A","","Calhoun County, Alabama","Private","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",26,157,2183099,1082492,43678,267,13905,"",0.75,0.23,0.12,0.26,0.29,0.54,0.54,"",1,4.0,-6,-3.7,-129266,-5.6,-58042,-5.1,29322,204.2,-5,-1.8,-260,-1.8
