"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","92","54","0","2010","A","","Alabama -- Statewide","Federal Government","Public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",576,36765,2807870448,0,0,1469,76373,"",1.50,1.54,1.81,0.00,0.00,1.17,1.17,"",15,2.7,4198,12.9,275525819,10.9,0,0.0,0,0.0,-26,-1.7,-1384,-1.8
"01000","2","92","54","0","2010","A","","Alabama -- Statewide","State Government","Public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",900,34880,1526565381,72524,1517,842,43766,"",1.44,1.31,1.34,0.00,0.01,1.02,1.02,"",-1,-0.1,67,0.2,-7577243,-0.5,7444,11.4,1036,215.4,-5,-0.6,-303,-0.7
"01000","3","92","54","0","2010","A","","Alabama -- Statewide","Local Government","Public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",624,60601,2171059797,50347856,1228480,689,35826,"",0.80,1.07,0.94,0.58,1.09,0.87,0.87,"",1,0.2,-454,-0.7,-17990305,-0.8,439859,0.9,747391,155.4,0,0.0,-28,-0.1
"01001","1","92","74","0","2010","A","","Autauga County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,28,1111258,0,0,761,39570,"",3.12,0.20,0.15,0.00,0.00,0.77,0.77,"",0,0.0,3,12.0,45494,4.3,0,0.0,0,0.0,-56,-6.9,-2919,-6.9
"01001","2","92","74","0","2010","A","","Autauga County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,224,7911004,0,0,679,35330,"",2.34,1.43,1.49,0.00,0.00,1.04,1.04,"",0,0.0,-10,-4.3,-231420,-2.8,0,0.0,0,0.0,11,1.6,570,1.6
"01001","3","92","74","0","2010","A","","Autauga County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,616,22364712,20201,422,698,36301,"",0.85,1.85,2.07,0.05,0.08,1.12,1.12,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","1","92","74","0","2010","A","","Baldwin County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",15,157,7575204,0,0,926,48173,"",0.88,0.20,0.20,0.00,0.00,0.96,0.96,"",1,7.1,62,65.3,2146908,39.6,0,0.0,0,0.0,-174,-15.8,-9017,-15.8
"01003","2","92","74","0","2010","A","","Baldwin County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",18,709,26452191,0,0,717,37300,"",0.65,0.83,0.93,0.00,0.00,1.12,1.12,"",0,0.0,-1,-0.1,-639327,-2.4,0,0.0,0,0.0,-17,-2.3,-848,-2.2
"01003","3","92","74","0","2010","A","","Baldwin County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",17,2661,103761854,2655964,77673,750,38987,"",0.49,1.47,1.80,0.91,2.20,1.23,1.23,"",0,0.0,-7,-0.3,723388,0.7,213790,8.8,59466,326.6,7,0.9,368,1.0
"01005","1","92","74","0","2010","A","","Barbour County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,33,1013699,0,0,594,30874,"",3.50,0.27,0.17,0.00,0.00,0.63,0.63,"",0,0.0,12,57.1,217899,27.4,0,0.0,0,0.0,-141,-19.2,-7324,-19.2
"01005","2","92","74","0","2010","A","","Barbour County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",14,645,24208940,0,0,722,37548,"",4.29,4.70,5.46,0.00,0.00,1.16,1.16,"",0,0.0,46,7.7,313405,1.3,0,0.0,0,0.0,-45,-5.9,-2328,-5.8
"01005","3","92","74","0","2010","A","","Barbour County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,371,8715539,361894,7635,452,23481,"",2.22,1.27,0.97,0.79,1.24,0.76,0.76,"",0,0.0,-5,-1.3,128172,1.5,23092,6.8,5128,204.5,12,2.7,612,2.7
"01007","1","92","74","0","2010","A","","Bibb County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,54,3623381,0,0,1284,66790,"",4.40,1.02,1.28,0.00,0.00,1.25,1.25,"",0,0.0,3,5.9,180537,5.2,0,0.0,0,0.0,-21,-1.6,-1049,-1.5
"01007","2","92","74","0","2010","A","N","Bibb County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,"N",5.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","92","74","0","2010","A","","Bibb County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,167,4119540,370696,7747,474,24643,"",3.04,1.33,0.97,2.24,2.84,0.73,0.73,"",0,0.0,-1,-0.6,74115,1.8,2861,0.8,5025,184.6,10,2.2,491,2.0
"01009","1","92","74","0","2010","A","","Blount County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,51,2269655,0,0,856,44503,"",2.42,0.47,0.44,0.00,0.00,0.95,0.95,"",-1,-14.3,20,64.5,570998,33.6,0,0.0,0,0.0,-203,-19.2,-10589,-19.2
"01009","2","92","74","0","2010","A","N","Blount County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,"N",2.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","92","74","0","2010","A","","Blount County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",12,412,10789790,465192,9852,503,26173,"",2.38,1.59,1.40,1.32,2.16,0.88,0.88,"",1,9.1,6,1.5,178575,1.7,28061,6.4,6359,182.0,0,0.0,26,0.1
"01011","1","92","74","0","2010","A","","Bullock County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,22,941799,0,0,826,42972,"",3.97,0.56,0.50,0.00,0.00,0.90,0.90,"",0,0.0,5,29.4,140514,17.5,0,0.0,0,0.0,-76,-8.4,-3932,-8.4
"01011","2","92","74","0","2010","A","","Bullock County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,267,10888481,0,0,785,40806,"",8.53,6.14,7.95,0.00,0.00,1.29,1.30,"",0,0.0,-6,-2.2,-222820,-2.0,0,0.0,0,0.0,1,0.1,31,0.1
"01011","3","92","74","0","2010","A","N","Bullock County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",2.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","1","92","74","0","2010","A","","Butler County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,261845,0,0,426,22128,"",1.85,0.14,0.07,0.00,0.00,0.47,0.47,"",0,0.0,8,200.0,121578,86.7,0,0.0,0,0.0,-221,-34.2,-11536,-34.3
"01013","2","92","74","0","2010","A","","Butler County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,108,4428725,0,0,791,41134,"",3.78,1.15,1.53,0.00,0.00,1.33,1.33,"",0,0.0,2,1.9,-42206,-0.9,0,0.0,0,0.0,-21,-2.6,-1078,-2.6
"01013","3","92","74","0","2010","A","","Butler County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,257,7506907,122018,4374,562,29210,"",1.52,1.29,1.28,0.38,0.88,0.99,0.99,"",0,0.0,-5,-1.9,122149,1.7,10018,8.9,3424,360.4,21,3.9,1069,3.8
"01015","1","92","74","0","2010","A","","Calhoun County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",17,5140,327682486,0,0,1226,63748,"",2.05,8.39,8.91,0.00,0.00,1.06,1.06,"",0,0.0,-38,-0.7,-10990658,-3.2,0,0.0,0,0.0,-32,-2.5,-1656,-2.5
"01015","2","92","74","0","2010","A","","Calhoun County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",17,477,20864382,0,0,842,43764,"",1.26,0.70,0.77,0.00,0.00,1.10,1.10,"",0,0.0,-6,-1.2,-103077,-0.5,0,0.0,0,0.0,8,1.0,376,0.9
"01015","3","92","74","0","2010","A","","Calhoun County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,1519,46832170,826246,18591,593,30826,"",0.66,1.05,0.85,0.43,0.72,0.81,0.81,"",0,0.0,3,0.2,1160304,2.5,45986,5.9,11547,163.9,13,2.2,689,2.3
"01017","1","92","74","0","2010","A","","Chambers County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,2,81207,0,0,781,40604,"",1.01,0.02,0.02,0.00,0.00,0.82,0.82,"",0,0.0,0,0.0,-3047,-3.6,0,0.0,0,0.0,87,12.5,4495,12.4
"01017","2","92","74","0","2010","A","","Chambers County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,116,4319315,0,0,716,37209,"",3.09,1.06,1.21,0.00,0.00,1.14,1.14,"",1,11.1,3,2.7,16114,0.4,0,0.0,0,0.0,-18,-2.5,-957,-2.5
"01017","3","92","74","0","2010","A","","Chambers County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,433,13168658,185021,3868,585,30418,"",2.24,1.85,1.81,0.57,0.91,0.97,0.97,"",0,0.0,5,1.2,431888,3.4,-14123,-7.1,1925,99.1,13,2.3,682,2.3
"01019","1","92","74","0","2010","A","","Cherokee County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,38,1035779,0,0,521,27079,"",3.82,0.60,0.34,0.00,0.00,0.56,0.56,"",0,0.0,23,153.3,395460,61.8,0,0.0,0,0.0,-323,-38.3,-16829,-38.3
"01019","2","92","74","0","2010","A","N","Cherokee County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,"N",3.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","3","92","74","0","2010","A","","Cherokee County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,179,6047546,120155,3113,651,33848,"",1.51,1.19,1.32,0.58,0.90,1.12,1.12,"",0,0.0,-9,-4.8,4274,0.1,-6623,-5.2,178,6.1,34,5.5,1774,5.5
"01021","1","92","74","0","2010","A","","Chilton County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,15,307185,0,0,398,20709,"",1.20,0.14,0.06,0.00,0.00,0.43,0.43,"",0,0.0,9,150.0,134513,77.9,0,0.0,0,0.0,-197,-33.1,-10217,-33.0
"01021","2","92","74","0","2010","A","","Chilton County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,259,11056754,0,0,823,42773,"",2.45,2.15,2.86,0.00,0.00,1.34,1.33,"",0,0.0,6,2.4,180873,1.7,0,0.0,0,0.0,-4,-0.5,-243,-0.6
"01021","3","92","74","0","2010","A","","Chilton County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,353,9555011,884866,18494,521,27081,"",0.98,1.37,1.22,2.28,3.58,0.89,0.89,"",0,0.0,-20,-5.4,-183943,-1.9,-201256,-18.5,10456,130.1,19,3.8,965,3.7
"01023","1","92","74","0","2010","A","","Choctaw County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,10,202313,0,0,389,20231,"",2.03,0.21,0.06,0.00,0.00,0.28,0.28,"",0,0.0,6,150.0,100805,99.3,0,0.0,0,0.0,-109,-21.9,-5686,-21.9
"01023","2","92","74","0","2010","A","","Choctaw County, Alabama","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,78,2540222,0,0,629,32707,"",4.36,1.51,1.03,0.00,0.00,0.69,0.69,"",0,0.0,1,1.3,-64003,-2.5,0,0.0,0,0.0,-18,-2.8,-932,-2.8
"01023","3","92","74","0","2010","A","","Choctaw County, Alabama","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,101,2191166,138052,3986,417,21659,"",4.51,0.91,0.44,0.78,1.90,0.48,0.48,"",0,0.0,-1,-1.0,93759,4.5,3171,2.4,2816,240.7,22,5.6,1113,5.4
