"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","31-33","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",5286,260476,14126324910,2493221333,43279450,1043,54233,"",1.22,1.57,1.57,1.48,1.48,1.00,1.00,"",145,2.8,2638,1.0,325147998,2.4,41295100,1.7,-12248683,-22.1,14,1.4,707,1.3
"01001","5","31-33","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",32,1478,94372315,16764250,281682,1228,63837,"",1.05,1.59,2.30,1.97,2.07,1.45,1.45,"",0,0.0,44,3.1,6522818,7.4,2689007,19.1,24963,9.7,50,4.2,2572,4.2
"01003","5","31-33","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",184,4100,190996671,37743512,721062,896,46585,"",0.89,0.67,0.76,0.58,0.71,1.12,1.12,"",7,4.0,37,0.9,5641049,3.0,672917,1.8,-192219,-21.0,19,2.2,969,2.1
"01005","5","31-33","74","0","2016","A","","Barbour County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",29,2229,87497694,21750703,405975,755,39254,"",1.49,3.24,2.97,3.14,3.43,0.92,0.92,"",2,7.4,16,0.7,-1131937,-1.3,752532,3.6,-156199,-27.8,-15,-1.9,-803,-2.0
"01007","5","31-33","74","0","2016","A","","Bibb County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,355,15696298,3069369,31987,850,44194,"",1.66,0.99,0.92,0.95,0.51,0.93,0.93,"",0,0.0,-15,-4.1,135759,0.9,-229333,-7.0,-19293,-37.6,42,5.2,2176,5.2
"01009","5","31-33","74","0","2016","A","","Blount County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",49,1215,45312531,11460966,136553,717,37299,"",1.83,1.72,1.57,1.77,1.57,0.91,0.91,"",1,2.1,12,1.0,1300365,3.0,233725,2.1,-31118,-18.6,13,1.8,709,1.9
"01011","5","31-33","74","0","2016","A","","Bullock County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,826,24277217,8484344,174694,565,29385,"",1.18,3.22,2.36,3.29,3.17,0.73,0.73,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","31-33","74","0","2016","A","","Butler County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,1350,57606375,13262972,304694,820,42663,"",1.22,2.26,2.39,1.99,2.47,1.06,1.06,"",0,0.0,39,3.0,2433304,4.4,657709,5.2,-72044,-19.1,10,1.2,565,1.3
"01015","5","31-33","74","0","2016","A","","Calhoun County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",135,6006,295058060,58421209,958536,945,49124,"",1.52,1.58,1.71,1.72,1.69,1.08,1.08,"",3,2.3,82,1.4,14574828,5.2,4481670,8.3,-233154,-19.6,34,3.7,1774,3.7
"01017","5","31-33","74","0","2016","A","","Chambers County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",29,1981,94772257,20146586,277511,920,47847,"",1.37,2.84,3.14,3.03,2.92,1.11,1.11,"",2,7.4,244,14.0,13072148,16.0,2407396,13.6,-178583,-39.2,16,1.8,814,1.7
"01019","5","31-33","74","0","2016","A","","Cherokee County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",22,986,40006947,9355019,193443,780,40568,"",1.53,2.24,2.27,2.32,2.70,1.01,1.01,"",-2,-8.3,-27,-2.7,128175,0.3,-1798324,-16.1,-271729,-58.4,23,3.0,1217,3.1
"01021","5","31-33","74","0","2016","A","","Chilton County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",49,2002,88719188,25253276,608202,852,44313,"",1.83,2.46,2.60,2.86,3.81,1.06,1.06,"",2,4.3,-41,-2.0,1906706,2.2,6626791,35.6,-4486,-0.7,35,4.3,1815,4.3
"01023","5","31-33","74","0","2016","A","N","Choctaw County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","31-33","74","0","2016","A","","Clarke County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",28,1632,100703804,14517304,159822,1186,61690,"",1.20,2.31,3.11,2.18,1.68,1.35,1.35,"",0,0.0,-48,-2.9,-2738318,-2.6,-2062751,-12.4,-94899,-37.3,2,0.2,114,0.2
"01027","5","31-33","74","0","2016","A","","Clay County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,1917,68195308,19792267,215566,684,35583,"",1.86,5.63,5.06,5.89,5.01,0.90,0.90,"",0,0.0,142,8.0,6793683,11.1,2041031,11.5,-179712,-45.5,19,2.9,991,2.9
"01029","5","31-33","74","0","2016","A","","Cleburne County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,332,16031687,3184531,56395,930,48337,"",1.59,1.69,1.62,1.71,1.22,0.96,0.96,"",2,20.0,-10,-2.9,-217759,-1.3,225726,7.6,-8938,-13.7,17,1.9,882,1.9
"01031","5","31-33","74","0","2016","A","","Coffee County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",39,3320,113273034,35969737,697254,656,34119,"",1.03,2.50,2.13,2.50,2.89,0.85,0.85,"",2,5.4,-147,-4.2,-4436862,-3.8,2062901,6.1,-189664,-21.4,3,0.5,171,0.5
"01033","5","31-33","74","0","2016","A","","Colbert County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",112,6558,340424711,62805578,1029616,998,51909,"",2.46,3.16,3.22,3.02,2.60,1.02,1.02,"",3,2.8,35,0.5,16331267,5.0,-737680,-1.2,-284666,-21.7,43,4.5,2224,4.5
"01035","5","31-33","74","0","2016","A","","Conecuh County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,556,19426386,5290687,144531,672,34950,"",2.02,1.87,1.57,1.79,2.82,0.84,0.84,"",1,5.9,-103,-15.6,-2241636,-10.3,-1047766,-16.5,-72200,-33.3,39,6.2,2057,6.3
"01037","5","31-33","74","0","2016","A","","Coosa County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,576,24213099,5760072,129302,808,42037,"",1.84,4.94,4.78,5.22,5.72,0.97,0.97,"",0,0.0,18,3.2,829006,3.5,-13909,-0.2,-27271,-17.4,2,0.2,136,0.3
"01039","5","31-33","74","0","2016","A","","Covington County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",40,2093,78371377,20024498,1079646,720,37448,"",1.26,1.99,1.79,1.92,4.13,0.90,0.90,"",1,2.6,5,0.2,3462798,4.6,-739519,-3.6,1821,0.2,30,4.3,1572,4.4
