"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","52","54","0","2016","A","","Alabama -- Statewide","Federal Government","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",17,148,12310118,0,0,1602,83317,"",1.70,0.84,0.74,0.00,0.00,0.89,0.89,"",-1,-5.6,-3,-2.0,169046,1.4,0,0.0,0,0.0,53,3.4,2779,3.5
"01000","2","52","54","0","2016","A","N","Alabama -- Statewide","State Government","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.77,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","52","54","0","2016","A","N","Alabama -- Statewide","Local Government","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","52","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",8165,71002,5022670114,670897860,10055545,1360,70740,"",1.35,0.90,0.75,0.83,0.87,0.84,0.84,"",111,1.4,313,0.4,13153671,0.3,9007261,1.4,-1563510,-13.5,-3,-0.2,-127,-0.2
"01001","5","52","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",70,271,12599200,2258985,33354,893,46449,"",1.65,0.61,0.42,0.56,0.62,0.68,0.68,"",-4,-5.4,-37,-12.0,-1115845,-8.1,-367488,-14.0,-19671,-37.1,37,4.3,1944,4.4
"01003","1","52","74","0","2016","A","","Baldwin County, Alabama","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,8,527920,0,0,1269,65990,"",2.10,1.23,1.13,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,14737,2.9,0,0.0,0,0.0,35,2.8,1842,2.9
"01003","3","52","74","0","2016","A","N","Baldwin County, Alabama","Local Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.76,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","52","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",385,1854,100452922,16881852,252100,1042,54177,"",1.34,0.64,0.54,0.54,0.63,0.84,0.84,"",5,1.3,47,2.6,6649196,7.1,955547,6.0,-84576,-25.1,43,4.3,2251,4.3
"01005","5","52","74","0","2016","A","","Barbour County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",45,193,8367973,1659805,23321,832,43283,"",1.65,0.59,0.38,0.50,0.50,0.65,0.65,"",0,0.0,0,0.0,398763,5.0,79962,5.1,-4670,-16.7,39,4.9,2027,4.9
"01007","5","52","74","0","2016","A","","Bibb County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",19,79,2931868,545170,8140,717,37309,"",1.13,0.46,0.23,0.35,0.33,0.50,0.50,"",0,0.0,0,0.0,23927,0.8,-736,-0.1,-1829,-18.3,11,1.6,616,1.7
