"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","53","54","0","2016","A","N","Alabama -- Statewide","Local Government","NAICS 53 Real estate and rental and leasing","State, NAICS Sector -- by ownership sector","All establishment sizes",135,0,0,0,0,0,0,"N",6.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","53","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 53 Real estate and rental and leasing","State, NAICS Sector -- by ownership sector","All establishment sizes",4698,22468,948666134,217889077,3738902,812,42223,"",0.99,0.78,0.72,0.80,0.82,0.92,0.92,"",167,3.7,507,2.3,35993545,3.9,5512908,2.6,-815765,-17.9,13,1.6,665,1.6
"01001","3","53","74","0","2016","A","N","Autauga County, Alabama","Local Government","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",6.78,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","53","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",42,116,3845248,1047094,16683,638,33196,"",1.26,0.72,0.64,0.77,0.79,0.89,0.89,"",-1,-2.3,-2,-1.7,-230976,-5.7,-48420,-4.4,-1836,-9.9,-25,-3.8,-1300,-3.8
"01003","3","53","74","0","2016","A","N","Baldwin County, Alabama","Local Government","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",2.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","53","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",376,1929,65020512,19367547,294482,648,33713,"",1.67,1.83,1.76,1.84,1.87,0.96,0.96,"",29,8.4,64,3.4,2846633,4.6,297859,1.6,-60577,-17.1,7,1.1,382,1.1
"01005","3","53","74","0","2016","A","N","Barbour County, Alabama","Local Government","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",21.16,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","53","74","0","2016","A","","Barbour County, Alabama","Private","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",26,42,1156128,385143,10190,536,27859,"",1.22,0.35,0.27,0.35,0.55,0.77,0.77,"",-2,-7.1,-3,-6.7,-59741,-4.9,-8857,-2.2,2000,24.4,18,3.5,939,3.5
"01007","3","53","74","0","2016","A","N","Bibb County, Alabama","Local Government","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",17.09,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","53","74","0","2016","A","","Bibb County, Alabama","Private","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,23,489799,192101,3605,408,21219,"",0.83,0.37,0.20,0.37,0.37,0.53,0.53,"",0,0.0,1,4.5,-3701,-0.7,10969,6.1,-727,-16.8,-19,-4.4,-961,-4.3
"01009","3","53","74","0","2016","A","N","Blount County, Alabama","Local Government","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",15.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
