"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","54","54","0","2016","A","","Alabama -- Statewide","Federal Government","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",39,1748,153881401,0,0,1693,88012,"",2.34,2.06,2.49,0.00,0.00,1.21,1.21,"",1,2.6,44,2.6,6227820,4.2,0,0.0,0,0.0,26,1.6,1340,1.5
"01000","2","54","54","0","2016","A","N","Alabama -- Statewide","State Government","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","54","54","0","2016","A","","Alabama -- Statewide","Local Government","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",14,364,14961671,746584,19391,791,41122,"",1.05,1.21,0.91,1.04,3.27,0.75,0.75,"",-1,-6.7,-91,-20.0,-6444280,-30.1,-769216,-50.7,-10782,-35.7,-113,-12.5,-5881,-12.5
"01000","5","54","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",13390,98347,7347857476,962030069,16328046,1437,74714,"",0.91,0.82,0.81,0.79,0.79,0.98,0.98,"",288,2.2,2192,2.3,289234327,4.1,29773756,3.2,-3186892,-16.3,25,1.8,1305,1.8
"01001","5","54","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",68,209,9824475,2098219,47842,903,46932,"",0.66,0.31,0.24,0.34,0.50,0.76,0.76,"",5,7.9,11,5.6,1806856,22.5,176940,9.2,-10319,-17.7,124,15.9,6405,15.8
"01003","5","54","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",546,1897,106422773,18773615,278781,1079,56096,"",0.78,0.43,0.42,0.40,0.39,0.96,0.96,"",12,2.2,35,1.9,9088347,9.3,714034,4.0,-67701,-19.5,74,7.4,3810,7.3
"01005","1","54","74","0","2016","A","","Barbour County, Alabama","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,506839,0,0,1444,75087,"",13.33,1.99,2.51,0.00,0.00,1.30,1.31,"",0,0.0,1,16.7,66171,15.0,0,0.0,0,0.0,106,7.9,5508,7.9
"01005","5","54","74","0","2016","A","N","Barbour County, Alabama","Private","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",34,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","54","74","0","2016","A","","Bibb County, Alabama","Private","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",18,54,1750713,483830,10285,621,32271,"",0.44,0.21,0.10,0.21,0.23,0.48,0.48,"",-2,-10.0,-1,-1.8,-311863,-15.1,-75067,-13.4,-1016,-9.0,-103,-14.2,-5402,-14.3
"01009","5","54","74","0","2016","A","","Blount County, Alabama","Private","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",55,193,8585752,1709099,21870,857,44543,"",0.61,0.38,0.30,0.36,0.36,0.78,0.78,"",0,0.0,-9,-4.5,-65980,-0.8,-201103,-10.5,-5595,-20.4,33,4.0,1677,3.9
"01011","5","54","74","0","2016","A","N","Bullock County, Alabama","Private","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","54","74","0","2016","A","N","Butler County, Alabama","Private","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",21,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,"N",2,10.5,0,0,0,0,0,0,0,0,0,0,0,0
"01015","1","54","74","0","2016","A","","Calhoun County, Alabama","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",4,25,1897720,0,0,1445,75157,"",11.71,1.29,1.60,0.00,0.00,1.23,1.23,"",1,33.3,-4,-13.8,-375180,-16.5,0,0.0,0,0.0,-54,-3.6,-2771,-3.6
