"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","55","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 55 Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",1070,16450,1508574451,247578967,3577980,1764,91705,"",1.34,0.55,0.52,0.62,0.61,0.95,0.95,"",-37,-3.3,1033,6.7,158804568,11.8,11476874,4.9,-797911,-18.2,80,4.8,4153,4.7
"01001","5","55","74","0","2016","A","N","Autauga County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","55","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",38,305,16908256,4486611,48821,1066,55407,"",1.00,0.28,0.21,0.29,0.24,0.75,0.75,"",-3,-7.3,7,2.3,1002650,6.3,169706,3.9,-11127,-18.6,40,3.9,2047,3.8
"01005","5","55","74","0","2016","A","N","Barbour County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","55","74","0","2016","A","N","Bibb County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","55","74","0","2016","A","","Blount County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,2159073,207309,1922,2296,119396,"",0.81,0.14,0.23,0.14,0.11,1.64,1.64,"",0,0.0,-1,-5.3,-138179,-6.0,4702,2.3,-52,-2.6,21,0.9,1083,0.9
"01013","5","55","74","0","2016","A","N","Butler County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","55","74","0","2016","A","","Calhoun County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",9,99,3079619,1285650,11241,598,31081,"",0.55,0.14,0.06,0.16,0.10,0.38,0.38,"",0,0.0,-8,-7.5,-383888,-11.1,-319732,-19.9,-7007,-38.4,-23,-3.7,-1188,-3.7
"01017","5","55","74","0","2016","A","","Chambers County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,1050907,179609,8794,2500,130009,"",0.77,0.06,0.11,0.11,0.46,1.69,1.69,"",-1,-25.0,-13,-61.9,-1846825,-63.7,-180210,-50.1,-838,-8.7,-133,-5.1,-6892,-5.0
"01019","5","55","74","0","2016","A","N","Cherokee County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
