"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","56","54","0","2016","A","","Alabama -- Statewide","Federal Government","NAICS 56 Administrative and waste services","State, NAICS Sector -- by ownership sector","All establishment sizes",6,25,677590,0,0,513,26659,"",3.12,0.94,0.82,0.00,0.00,0.86,0.86,"",0,0.0,-2,-7.4,-44107,-6.1,0,0.0,0,0.0,1,0.2,12,0.0
"01000","3","56","54","0","2016","A","","Alabama -- Statewide","Local Government","NAICS 56 Administrative and waste services","State, NAICS Sector -- by ownership sector","All establishment sizes",62,868,35289273,571853,14730,782,40644,"",1.47,0.86,0.89,0.55,1.44,1.04,1.04,"",0,0.0,-9,-1.0,-384145,-1.1,6734,1.2,-1728,-10.5,-1,-0.1,-48,-0.1
"01000","5","56","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 56 Administrative and waste services","State, NAICS Sector -- by ownership sector","All establishment sizes",6505,119053,3304538547,1348888182,28725572,534,27757,"",0.98,0.98,0.86,1.11,1.14,0.87,0.87,"",321,5.2,2027,1.7,97080303,3.0,25954861,2.0,-7902306,-21.6,7,1.3,349,1.3
"01001","3","56","74","0","2016","A","N","Autauga County, Alabama","Local Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.37,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","56","74","0","2016","A","N","Autauga County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",30,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",2,7.1,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","56","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",311,2941,76328682,31101932,585678,499,25957,"",0.99,0.66,0.71,0.66,0.67,1.07,1.07,"",11,3.7,185,6.7,-4956474,-6.1,1468507,5.0,-208142,-26.2,-68,-12.0,-3542,-12.0
"01005","5","56","74","0","2016","A","","Barbour County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",11,138,3381220,1814937,84282,472,24531,"",0.37,0.28,0.27,0.36,0.83,0.98,0.98,"",-2,-15.4,-84,-37.8,-1395271,-29.2,-880282,-32.7,-72863,-46.4,59,14.3,3048,14.2
"01007","5","56","74","0","2016","A","N","Bibb County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","56","74","0","2016","A","","Blount County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",30,266,7583963,2605322,29284,548,28493,"",0.73,0.52,0.62,0.56,0.39,1.19,1.19,"",2,7.1,10,3.9,807277,11.9,141643,5.7,-2925,-9.1,39,7.7,2022,7.6
"01011","5","56","74","0","2016","A","N","Bullock County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","56","74","0","2016","A","","Butler County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",14,382,8982350,6245920,128061,453,23540,"",0.53,0.88,0.87,1.30,1.20,1.00,1.00,"",0,0.0,37,10.7,1189561,15.3,1400667,28.9,-117966,-47.9,19,4.4,952,4.2
"01015","1","56","74","0","2016","A","","Calhoun County, Alabama","Federal Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,19,522820,0,0,543,28261,"",50.64,31.39,33.12,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,7114,1.4,0,0.0,0,0.0,9,1.7,510,1.8
"01015","3","56","74","0","2016","A","N","Calhoun County, Alabama","Local Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","56","74","0","2016","A","","Calhoun County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",99,2927,69152796,34897754,803170,454,23629,"",0.73,1.06,0.94,1.42,1.64,0.88,0.89,"",2,2.1,-9,-0.3,1233429,1.8,332413,1.0,-234770,-22.6,9,2.0,496,2.1
"01017","5","56","74","0","2016","A","","Chambers County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",33,400,15193952,3789460,59264,730,37969,"",1.01,0.79,1.18,0.79,0.72,1.50,1.50,"",4,13.8,-81,-16.8,-863756,-5.4,-524870,-12.2,-33081,-35.8,88,13.7,4579,13.7
"01019","5","56","74","0","2016","A","","Cherokee County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",12,206,4406618,2002599,43379,412,21409,"",0.54,0.64,0.59,0.69,0.70,0.91,0.91,"",1,9.1,19,10.2,760435,20.9,280734,16.3,7054,19.4,36,9.6,1867,9.6
"01021","3","56","74","0","2016","A","N","Chilton County, Alabama","Local Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.82,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","56","74","0","2016","A","","Chilton County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",24,276,5575287,2541784,43337,389,20213,"",0.58,0.46,0.38,0.40,0.32,0.83,0.83,"",1,4.3,5,1.8,21387,0.4,-143640,-5.3,-15526,-26.4,-6,-1.5,-319,-1.6
"01023","5","56","74","0","2016","A","N","Choctaw County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","56","74","0","2016","A","","Clarke County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",17,148,4141929,1325578,33371,538,27955,"",0.47,0.29,0.30,0.27,0.41,1.04,1.04,"",1,6.2,7,5.0,275151,7.1,112963,9.3,-108,-0.3,12,2.3,580,2.1
"01027","3","56","74","0","2016","A","N","Clay County, Alabama","Local Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",13.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","56","74","0","2016","A","N","Clay County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","56","74","0","2016","A","","Cleburne County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",5,12,380593,187213,4222,614,31938,"",0.43,0.08,0.09,0.14,0.11,1.08,1.08,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","56","74","0","2016","A","","Coffee County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",42,633,14977767,7094463,128941,455,23658,"",0.72,0.66,0.66,0.68,0.62,1.01,1.01,"",3,7.7,46,7.8,1215972,8.8,459780,6.9,-22673,-15.0,4,0.9,197,0.8
"01033","3","56","74","0","2016","A","N","Colbert County, Alabama","Local Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","56","74","0","2016","A","","Colbert County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",57,1162,32636124,12711167,194203,540,28090,"",0.82,0.77,0.72,0.85,0.57,0.94,0.94,"",-2,-3.4,-36,-3.0,-439363,-1.3,-486910,-3.7,-56970,-22.7,9,1.7,471,1.7
"01035","5","56","74","0","2016","A","","Conecuh County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",11,77,2749541,677125,6690,688,35786,"",0.81,0.36,0.52,0.32,0.15,1.46,1.46,"",-3,-21.4,-17,-18.1,-109037,-3.8,-202299,-23.0,-9854,-59.6,101,17.2,5240,17.2
"01037","5","56","74","0","2016","A","N","Coosa County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","3","56","74","0","2016","A","N","Covington County, Alabama","Local Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","56","74","0","2016","A","","Covington County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",31,710,15561271,7058262,132134,422,21920,"",0.64,0.93,0.83,0.94,0.59,0.90,0.90,"",0,0.0,-18,-2.5,-289529,-1.8,183714,2.7,-564,-0.4,3,0.7,149,0.7
"01041","5","56","74","0","2016","A","","Crenshaw County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",7,29,702194,387429,9877,466,24214,"",0.50,0.12,0.12,0.15,0.14,0.97,0.97,"",1,16.7,-11,-27.5,-197947,-22.0,-97451,-20.1,-3122,-24.0,33,7.6,1710,7.6
"01043","5","56","74","0","2016","A","","Cullman County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",58,1003,24789237,12782023,166616,475,24717,"",0.59,0.55,0.52,0.68,0.49,0.94,0.94,"",3,5.5,68,7.3,1949220,8.5,1619410,14.5,-21109,-11.2,5,1.1,278,1.1
"01045","1","56","74","0","2016","A","","Dale County, Alabama","Federal Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,98881,0,0,407,21189,"",73.00,21.53,11.68,0.00,0.00,0.58,0.58,"",0,0.0,1,25.0,22223,29.0,0,0.0,0,0.0,73,21.9,3832,22.1
"01045","3","56","74","0","2016","A","N","Dale County, Alabama","Local Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","56","74","0","2016","A","","Dale County, Alabama","Private","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",41,452,18635831,5415928,95402,793,41237,"",0.87,0.43,0.47,0.58,0.44,1.11,1.11,"",3,7.9,2,0.4,1682556,9.9,1179446,27.8,-12035,-11.2,69,9.5,3584,9.5
