"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","61","54","0","2016","A","","Alabama -- Statewide","Federal Government","NAICS 61 Educational services","State, NAICS Sector -- by ownership sector","All establishment sizes",6,230,11155861,0,0,933,48504,"",3.26,1.44,1.10,0.00,0.00,0.77,0.77,"",0,0.0,3,1.3,646693,6.2,0,0.0,0,0.0,44,4.9,2259,4.9
"01000","2","61","54","0","2016","A","","Alabama -- Statewide","State Government","NAICS 61 Educational services","State, NAICS Sector -- by ownership sector","All establishment sizes",162,45399,2510026409,0,0,1063,55288,"",1.65,1.74,1.98,0.00,0.00,1.14,1.14,"",1,0.6,112,0.2,50445135,2.1,0,0.0,0,0.0,19,1.8,978,1.8
"01000","3","61","54","0","2016","A","","Alabama -- Statewide","Local Government","NAICS 61 Educational services","State, NAICS Sector -- by ownership sector","All establishment sizes",1881,95741,3704652361,0,0,744,38695,"",2.27,0.92,0.94,0.00,0.00,1.02,1.02,"",9,0.5,-605,-0.6,48620036,1.3,0,0.0,0,0.0,14,1.9,748,2.0
"01000","5","61","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 61 Educational services","State, NAICS Sector -- by ownership sector","All establishment sizes",1008,19511,679996249,109135322,1640843,670,34852,"",0.70,0.52,0.45,0.76,0.72,0.85,0.85,"",40,4.1,457,2.4,25696037,3.9,1831664,1.7,-403544,-19.7,10,1.5,513,1.5
"01001","2","61","74","0","2016","A","N","Autauga County, Alabama","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","61","74","0","2016","A","N","Autauga County, Alabama","Local Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",18,0,0,0,0,0,0,"N",3.08,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","61","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",10,156,3654125,877438,8706,450,23386,"",0.99,0.74,0.53,1.21,0.82,0.71,0.71,"",3,42.9,12,8.3,577378,18.8,184884,26.7,876,11.2,40,9.8,2081,9.8
"01003","2","61","74","0","2016","A","","Baldwin County, Alabama","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",4,370,13951321,0,0,725,37715,"",0.86,0.39,0.39,0.00,0.00,1.01,1.01,"",0,0.0,9,2.5,755740,5.7,0,0.0,0,0.0,23,3.3,1204,3.3
"01003","3","61","74","0","2016","A","N","Baldwin County, Alabama","Local Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",49,0,0,0,0,0,0,"N",1.24,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","61","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",50,951,36509653,7641596,73693,739,38404,"",0.73,0.70,0.86,1.37,0.94,1.23,1.23,"",2,4.2,-28,-2.9,-1193053,-3.2,-104747,-1.4,-45101,-38.0,-2,-0.3,-114,-0.3
"01005","2","61","74","0","2016","A","N","Barbour County, Alabama","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.54,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","3","61","74","0","2016","A","","Barbour County, Alabama","Local Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",11,471,19101212,0,0,780,40555,"",2.94,1.09,1.48,0.00,0.00,1.35,1.35,"",-1,-8.3,-2,-0.4,381022,2.0,0,0.0,0,0.0,18,2.4,957,2.4
"01005","5","61","74","0","2016","A","N","Barbour County, Alabama","Private","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"01007","2","61","74","0","2016","A","N","Bibb County, Alabama","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","61","74","0","2016","A","N","Bibb County, Alabama","Local Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",16,0,0,0,0,0,0,"N",6.91,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","61","74","0","2016","A","N","Bibb County, Alabama","Private","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","2","61","74","0","2016","A","N","Blount County, Alabama","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","61","74","0","2016","A","","Blount County, Alabama","Local Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",23,1022,41354194,0,0,778,40457,"",4.48,2.31,3.27,0.00,0.00,1.42,1.42,"",0,0.0,5,0.5,453673,1.1,0,0.0,0,0.0,4,0.5,224,0.6
"01009","5","61","74","0","2016","A","N","Blount County, Alabama","Private","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
