"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","62","54","0","2016","A","","Alabama -- Statewide","Federal Government","NAICS 62 Health care and social assistance","State, NAICS Sector -- by ownership sector","All establishment sizes",31,6544,450918203,0,0,1325,68902,"",2.02,1.24,1.34,0.00,0.00,1.09,1.09,"",1,3.3,316,5.1,23719365,5.6,0,0.0,0,0.0,6,0.5,309,0.5
"01000","2","62","54","0","2016","A","","Alabama -- Statewide","State Government","NAICS 62 Health care and social assistance","State, NAICS Sector -- by ownership sector","All establishment sizes",70,17249,880345770,0,0,982,51039,"",0.81,2.00,2.21,0.00,0.00,1.11,1.11,"",-13,-15.7,713,4.3,48991053,5.9,0,0.0,0,0.0,15,1.6,764,1.5
"01000","3","62","54","0","2016","A","","Alabama -- Statewide","Local Government","NAICS 62 Health care and social assistance","State, NAICS Sector -- by ownership sector","All establishment sizes",242,33011,1520879725,21831427,310438,886,46072,"",2.72,2.66,2.70,1.39,3.36,1.01,1.01,"",-6,-2.4,414,1.3,61483056,4.2,413564,1.9,-36100,-10.4,25,2.9,1301,2.9
"01000","5","62","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 62 Health care and social assistance","State, NAICS Sector -- by ownership sector","All establishment sizes",11257,207155,9456447199,1627565373,21094871,878,45649,"",0.60,0.81,0.92,1.11,1.08,1.14,1.14,"",258,2.3,4504,2.2,229051872,2.5,50707090,3.2,-6114945,-22.5,2,0.2,115,0.3
"01001","2","62","74","0","2016","A","N","Autauga County, Alabama","State Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",4.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","62","74","0","2016","A","N","Autauga County, Alabama","Local Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",81,996,30261162,9518020,130243,584,30373,"",0.62,0.70,0.65,1.29,1.42,0.93,0.93,"",1,1.2,0,0.0,146884,0.5,64693,0.7,-63642,-32.8,2,0.3,123,0.4
"01003","3","62","74","0","2016","A","N","Baldwin County, Alabama","Local Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","62","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",528,8539,353379553,66586773,827225,796,41383,"",0.60,0.91,1.23,1.17,1.22,1.35,1.35,"",21,4.1,413,5.1,12354590,3.6,4295059,6.9,-200752,-19.5,-11,-1.4,-584,-1.4
"01005","3","62","74","0","2016","A","","Barbour County, Alabama","Local Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,180540,50139,294,508,26420,"",7.49,0.14,0.10,0.78,0.78,0.74,0.74,"",0,0.0,0,0.0,-13288,-6.9,-6029,-10.7,-205,-41.1,-12,-2.3,-626,-2.3
