"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","72","54","0","2016","A","","Alabama -- Statewide","Federal Government","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",10,424,7746321,0,0,352,18288,"",2.00,3.08,2.81,0.00,0.00,0.92,0.91,"",0,0.0,15,3.7,255554,3.4,0,0.0,0,0.0,0,0.0,-42,-0.2
"01000","2","72","54","0","2016","A","N","Alabama -- Statewide","State Government","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","72","54","0","2016","A","","Alabama -- Statewide","Local Government","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",153,1201,24622422,246555,3613,394,20504,"",17.39,1.09,0.79,0.08,0.07,0.72,0.72,"",4,2.7,-20,-1.6,-258507,-1.0,-7181,-2.8,-804,-18.2,2,0.5,133,0.7
"01000","5","72","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",9240,178706,2789423170,1508768965,18409861,300,15609,"",1.08,0.99,0.93,1.09,1.05,0.93,0.93,"",383,4.3,5431,3.1,155626728,5.9,63648964,4.4,-4752874,-20.5,8,2.7,409,2.7
"01001","3","72","74","0","2016","A","N","Autauga County, Alabama","Local Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.16,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","72","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",72,1428,19607963,11122258,93879,264,13736,"",1.19,1.42,1.43,1.59,1.15,1.01,1.01,"",3,4.3,56,4.1,699553,3.7,142133,1.3,-42207,-31.0,-1,-0.4,-41,-0.3
"01003","5","72","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",569,13333,249082840,124102272,1776211,359,18682,"",1.39,2.03,2.95,2.31,2.93,1.46,1.46,"",37,7.0,829,6.6,20577872,9.0,8742941,7.6,-337671,-16.0,8,2.3,408,2.2
"01005","5","72","74","0","2016","A","","Barbour County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",49,641,7800853,5030416,74047,234,12165,"",1.27,0.86,0.79,0.88,1.04,0.92,0.92,"",0,0.0,24,3.9,435232,5.9,283936,6.0,-17456,-19.1,5,2.2,235,2.0
"01007","5","72","74","0","2016","A","","Bibb County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",14,241,3298609,1802683,29094,264,13716,"",0.59,0.62,0.58,0.68,0.77,0.94,0.93,"",0,0.0,4,1.7,97891,3.1,33385,1.9,-11370,-28.1,4,1.5,201,1.5
"01009","5","72","74","0","2016","A","","Blount County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",43,667,8492432,4899380,43598,245,12728,"",0.81,0.87,0.88,0.92,0.83,1.01,1.01,"",2,4.9,6,0.9,342537,4.2,228703,4.9,-20407,-31.9,8,3.4,395,3.2
