"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","81","54","0","2016","A","","Alabama -- Statewide","Federal Government","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",3,432,48174990,0,0,2142,111409,"",1.37,6.93,17.58,0.00,0.00,2.53,2.53,"",0,0.0,17,4.1,3603741,8.1,0,0.0,0,0.0,77,3.7,4008,3.7
"01000","2","81","54","0","2016","A","N","Alabama -- Statewide","State Government","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","81","54","0","2016","A","N","Alabama -- Statewide","Local Government","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",30,0,0,0,0,0,0,"N",1.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","81","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",9209,44558,1583433107,407235053,6369233,683,35536,"",0.88,0.75,0.89,0.88,0.95,1.18,1.18,"",275,3.1,-363,-0.8,40082328,2.6,8617655,2.2,-1501073,-19.1,22,3.3,1179,3.4
"01001","5","81","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",70,225,5831728,2135432,29832,500,25977,"",0.95,0.68,0.72,0.91,0.96,1.07,1.07,"",1,1.4,-174,-43.6,-1597135,-21.5,150763,7.6,-8340,-21.8,142,39.7,7370,39.6
"01003","5","81","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",452,1931,60216129,17653274,257310,600,31180,"",0.91,0.89,1.21,0.98,1.11,1.36,1.36,"",30,7.1,-4,-0.2,4600478,8.3,1077265,6.5,-61760,-19.4,47,8.5,2439,8.5
"01005","3","81","74","0","2016","A","N","Barbour County, Alabama","Local Government","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",8.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","81","74","0","2016","A","","Barbour County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",34,160,4354551,1394253,17696,525,27301,"",0.72,0.65,0.75,0.73,0.65,1.15,1.15,"",0,0.0,16,11.1,506114,13.2,208045,17.5,976,5.8,9,1.7,483,1.8
"01007","5","81","74","0","2016","A","N","Bibb County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",32,0,0,0,0,0,0,"N",1.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","81","74","0","2016","A","","Blount County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",66,301,7795250,2714527,31349,497,25869,"",1.02,1.19,1.37,1.52,1.57,1.14,1.14,"",2,3.1,-9,-2.9,114547,1.5,54337,2.0,-8002,-20.3,21,4.4,1126,4.6
"01011","5","81","74","0","2016","A","N","Bullock County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,"N",-2,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","81","74","0","2016","A","","Butler County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",42,101,2687015,801521,9657,514,26736,"",1.01,0.47,0.56,0.44,0.34,1.19,1.20,"",4,10.5,-1,-1.0,149573,5.9,36842,4.8,-1840,-16.0,35,7.3,1818,7.3
"01015","2","81","74","0","2016","A","N","Calhoun County, Alabama","State Government","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","81","74","0","2016","A","N","Calhoun County, Alabama","Local Government","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",3.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","81","74","0","2016","A","","Calhoun County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",202,878,24540719,7955613,102234,537,27937,"",0.94,0.65,0.72,0.85,0.79,1.11,1.11,"",10,5.2,-78,-8.2,-1133775,-4.4,-321559,-3.9,-38752,-27.5,21,4.1,1086,4.0
"01017","3","81","74","0","2016","A","N","Chambers County, Alabama","Local Government","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.48,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","81","74","0","2016","A","","Chambers County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",43,152,4309679,1299278,28720,545,28353,"",0.84,0.61,0.72,0.71,1.32,1.18,1.18,"",3,7.5,0,0.0,129383,3.1,-66380,-4.9,-5815,-16.8,16,3.0,866,3.2
"01019","5","81","74","0","2016","A","","Cherokee County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",23,71,1579918,665633,8419,431,22410,"",0.66,0.45,0.45,0.60,0.51,1.01,1.01,"",1,4.5,10,16.4,228034,16.9,64137,10.7,-2667,-24.1,2,0.5,96,0.4
