"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","92","54","0","2016","A","","Alabama -- Statewide","Federal Government","NAICS 92 Public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",465,32174,2831064926,0,0,1692,87993,"",1.50,1.57,1.87,0.00,0.00,1.19,1.19,"",-3,-0.6,-24,-0.1,32701617,1.2,0,0.0,0,0.0,21,1.3,1081,1.2
"01000","2","92","54","0","2016","A","","Alabama -- Statewide","State Government","NAICS 92 Public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",929,30631,1413694980,56324,333,888,46152,"",1.51,1.27,1.23,0.00,0.00,0.97,0.97,"",15,1.6,-327,-1.1,4939538,0.4,-721,-1.3,-174,-34.3,13,1.5,647,1.4
"01000","3","92","54","0","2016","A","","Alabama -- Statewide","Local Government","NAICS 92 Public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",646,61246,2405331651,60819166,574357,755,39273,"",0.84,1.13,1.00,0.71,0.98,0.88,0.88,"",9,1.4,657,1.1,53155689,2.3,2680005,4.6,-234722,-29.0,8,1.1,451,1.2
"01001","1","92","74","0","2016","A","","Autauga County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,14,706257,0,0,953,49562,"",3.22,0.12,0.10,0.00,0.00,0.83,0.83,"",1,16.7,1,7.7,44109,6.7,0,0.0,0,0.0,-52,-5.2,-2713,-5.2
"01001","2","92","74","0","2016","A","","Autauga County, Alabama","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",12,187,7050774,0,0,727,37789,"",2.77,1.38,1.35,0.00,0.00,0.98,0.98,"",1,9.1,1,0.5,138546,2.0,0,0.0,0,0.0,11,1.5,576,1.5
"01001","3","92","74","0","2016","A","","Autauga County, Alabama","Local Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,592,21948831,11600,68,714,37107,"",0.92,1.95,2.00,0.03,0.02,1.03,1.03,"",0,0.0,17,3.0,-28378,-0.1,0,0.0,-35,-34.0,-20,-2.7,-1087,-2.8
"01003","1","92","74","0","2016","A","","Baldwin County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",12,100,6853915,0,0,1314,68311,"",0.81,0.13,0.16,0.00,0.00,1.21,1.21,"",0,0.0,-1,-1.0,149154,2.2,0,0.0,0,0.0,32,2.5,1652,2.5
"01003","2","92","74","0","2016","A","","Baldwin County, Alabama","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",20,736,28495539,0,0,745,38739,"",0.68,0.83,0.88,0.00,0.00,1.06,1.06,"",2,11.1,-14,-1.9,304457,1.1,0,0.0,0,0.0,22,3.0,1155,3.1
"01003","3","92","74","0","2016","A","","Baldwin County, Alabama","Local Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",16,2955,122288836,3888179,24158,796,41379,"",0.44,1.49,1.81,1.17,1.19,1.21,1.21,"",0,0.0,63,2.2,2670670,2.2,247949,6.8,-8574,-26.2,1,0.1,23,0.1
"01005","1","92","74","0","2016","A","","Barbour County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,709784,0,0,1153,59982,"",2.15,0.14,0.14,0.00,0.00,1.03,1.03,"",-1,-25.0,-3,-20.0,-18554,-2.5,0,0.0,0,0.0,240,26.3,12482,26.3
